Punchlist,Excel_Row,Facility,City,State,Field,Current,New
#27,4926,MAJESTIC CARE OF SOUTH BEND,SOUTH BEND,IN,Corporate_Name,MAJESTIC CARE,MAJESTIC / MAJESTIC CARE
#27,4927,MAJESTIC CARE OF SOUTHPORT,INDIANAPOLIS,IN,Corporate_Name,MAJESTIC CARE,MAJESTIC / MAJESTIC CARE
#27,4928,MAJESTIC CARE OF TERRE HAUTE,TERRE HAUTE,IN,Corporate_Name,MAJESTIC CARE,MAJESTIC / MAJESTIC CARE
#27,4929,MAJESTIC CARE OF WEST ALLEN,FORT WAYNE,IN,Corporate_Name,MAJESTIC CARE,MAJESTIC / MAJESTIC CARE
#27,4969,MAJESTIC CARE OF DEMING PARK,Terre Haute,IN,Corporate_Name,MAJESTIC CARE,MAJESTIC / MAJESTIC CARE
#27,4970,MAJESTIC CARE OF NORTH VERNON,North Vernon,IN,Corporate_Name,MAJESTIC CARE,MAJESTIC / MAJESTIC CARE
#27,4971,MAJESTIC TERRE HAUTE,Terre Haute,IN,Corporate_Name,MAJESTIC CARE,MAJESTIC / MAJESTIC CARE
#27,5072,SAINT ANTHONY,CROWN POINT,IN,Corporate_Name,MAJESTIC CARE,MAJESTIC / MAJESTIC CARE
#27,5130,"ST ANTHONY, MAJESTIC CARE",Crown Point,IN,Corporate_Name,MAJESTIC CARE,MAJESTIC / MAJESTIC CARE
#27,7233,MAJESTIC CARE OF BATTLE CREEK,BATTLE CREEK,MI,Corporate_Name,MAJESTIC CARE,MAJESTIC / MAJESTIC CARE
#27,7234,MAJESTIC CARE OF FLUSHING,FLUSHING,MI,Corporate_Name,MAJESTIC CARE,MAJESTIC / MAJESTIC CARE
#27,7235,MAJESTIC CARE OF LIVONIA,LIVONIA,MI,Corporate_Name,MAJESTIC CARE,MAJESTIC / MAJESTIC CARE
#27,11322,"ASTORIA PLACE OF CLYDE, LLC",CLYDE,OH,Corporate_Name,MAJESTIC CARE,MAJESTIC / MAJESTIC CARE
#27,12033,MAJESTIC CARE OF CEDAR VILLAGE ASSISTED LIVING,Mason,OH,Corporate_Name,MAJESTIC CARE,MAJESTIC / MAJESTIC CARE
#27,12034,MAJESTIC CARE OF CEDAR VILLAGE.,MASON,OH,Corporate_Name,MAJESTIC CARE,MAJESTIC / MAJESTIC CARE
#27,12035,MAJESTIC CARE OF COLUMBUS LLC,COLUMBUS,OH,Corporate_Name,MAJESTIC CARE,MAJESTIC / MAJESTIC CARE
#27,12037,MAJESTIC CARE OF FAIRFIELD LLC,FAIRFIELD,OH,Corporate_Name,MAJESTIC CARE,MAJESTIC / MAJESTIC CARE
#27,12038,MAJESTIC CARE OF KENT,KENT,OH,Corporate_Name,MAJESTIC CARE,MAJESTIC / MAJESTIC CARE
#27,12039,MAJESTIC CARE OF MIDDLETOWN LLC,MIDDLETOWN,OH,Corporate_Name,MAJESTIC CARE,MAJESTIC / MAJESTIC CARE
#27,12040,MAJESTIC CARE OF NEW LEXINGTON,NEW LEXINGTON,OH,Corporate_Name,MAJESTIC CARE,MAJESTIC / MAJESTIC CARE
#27,12041,MAJESTIC CARE OF PERRYSBURG,PERRYSBURG,OH,Corporate_Name,MAJESTIC CARE,MAJESTIC / MAJESTIC CARE
#27,12043,MAJESTIC CARE OF TOLEDO SNF,TOLEDO,OH,Corporate_Name,MAJESTIC CARE,MAJESTIC / MAJESTIC CARE
#27,12044,MAJESTIC CARE OF WHITEHALL,WHITEHALL,OH,Corporate_Name,MAJESTIC CARE,MAJESTIC / MAJESTIC CARE
#27,17910,FAIRFIELD PAVILION / TRI-COUNTY EXTENDED CARE,Fairfield,OH,Corporate_Name,MAJESTIC CARE,MAJESTIC / MAJESTIC CARE
#27,18568,MAJESTIC CARE OF MIDDLETOWN ASSISTED LIVING,Middletown,OH,Corporate_Name,MAJESTIC CARE,MAJESTIC / MAJESTIC CARE
#27,18569,MAJESTIC CARE OF TOLEDO,Toledo,OH,Corporate_Name,MAJESTIC CARE,MAJESTIC / MAJESTIC CARE
#27,18570,MAJESTIC CARE OF TOLEDO AL,Toledo,OH,Corporate_Name,MAJESTIC CARE,MAJESTIC / MAJESTIC CARE
#27,23056,Majestic Care Of Flushing Al,Flushing,MI,Corporate_Name,MAJESTIC CARE,MAJESTIC / MAJESTIC CARE
#27,23211,Midtown Manor,Hollywood,FL,Corporate_Name,MAJESTIC CARE,MAJESTIC / MAJESTIC CARE
#27,4968,MAJESTIC CARE OF CARMEL,Carmel,IN,Corporate_Name,"MAJESTIC MANAGEMENT, LLC",MAJESTIC / MAJESTIC CARE
#27,5111,SAINT ANTHONY - MAJESTIC CARE OF CROWN POINT,Crown Point,IN,Corporate_Name,"MAJESTIC MANAGEMENT, LLC",MAJESTIC / MAJESTIC CARE
#24,13979,MCCOY MEMORIAL NURSING CENTER,BISHOPVILLE,SC,Corporate_Name,Concierge Healthcare,CARLYLE SENIOR CARE
#22,5764,ELKHORN HEALTH & REHABILITATION,ELKHORN CITY,KY,Corporate_Name,A&M Healthcare Investment LLC,LYON HEALTHCARE
#13,18132,HARMONY AT ELKHART,Elkhart,IN,Corporate_Name,ELKHART AL INVESTORS LLC,HARMONY SENIOR SERVICES
#14,9020,HARMONY HALL NURSING AND REHABILITATION CENTER,KINSTON,NC,Corporate_Name,HARMONY SENIOR SERVICES,PRINCIPLE LONG TERM CARE
#14,9039,HARMONY HALL NURSING AND REHAB,Kinston,NC,DELETE ROW,"Type=ALF, Beds=50, Corp=HARMONY SENIOR SERVICES",PHANTOM - no NC DHSR ALF license at 312 Warren Ave
#18,8827,CAMELLIA GARDENS,Durham,NC,Corporate_Name,PELICAN HEALTH HENDERSON,ALLIANCE HEALTH GROUP
#23,4630,CENTURY VILLA HEALTH CARE,GREENTOWN,IN,Corporate_Name,GREENTOWN VOLUNTEER FIRE COMPANY,EXCEPTIONAL LIVING CENTERS
#23,4671,CENTURY VILLA HEALTH,Greentown,IN,Corporate_Name,GREENTOWN VOLUNTEER FIRE COMPANY,EXCEPTIONAL LIVING CENTERS
#23,4704,ELWOOD HEALTH AND LIVING,ELWOOD,IN,Corporate_Name,PUTNAM COUNTY HOSPITAL,ESSENTIAL SENIOR HEALTH AND LIVING
#23,4724,ELWOOD ALF,Elwood,IN,Corporate_Name,PUTNAM COUNTY HOSPITAL,ESSENTIAL SENIOR HEALTH AND LIVING
#23,4725,ELWOOD SNF,Elwood,IN,Corporate_Name,PUTNAM COUNTY HOSPITAL,ESSENTIAL SENIOR HEALTH AND LIVING
#23,4995,NORTHVIEW HEALTH AND LIVING,ANDERSON,IN,Corporate_Name,ESSENTIAL,ESSENTIAL SENIOR HEALTH AND LIVING
#23,4999,NORTHVIEW HEALTH/LIV,Anderson,IN,Corporate_Name,ESSENTIAL,ESSENTIAL SENIOR HEALTH AND LIVING
#23,5004,OWEN VALLEY REHABILITATION AND HEALTHCARE CENTER,SPENCER,IN,Corporate_Name,CASTLE HEALTHCARE,CLAYSHIRE LLC
#23,18300,HUTSONWOOD AT BRAZIL,Brazil,IN,Corporate_Name,BRAZIL FACILITY CO LLC,HUTSONWOOD
#23,5041,RICHLAND BEAN BLOSSOM HEALTH CARE CENTER,ELLETTSVILLE,IN,Corporate_Name,null,HUTSONWOOD
#23,5197,TOWNE PARK ASSISTED LIVING OF BRAZIL,Brazil,IN,Corporate_Name,HutsonWood,HUTSONWOOD
#23,5106,SUMMIT HEALTH AND LIVING,SUMMITVILLE,IN,Corporate_Name,null,ESSENTIAL SENIOR HEALTH AND LIVING
#23,5144,SUMMIT HEALTH/LIV,Summitville,IN,Corporate_Name,INDEPENDENT,ESSENTIAL SENIOR HEALTH AND LIVING
#23,5026,PROVIDENCE HEALTH CARE CENTER,ST MARY OF THE WOODS,IN,Corporate_Name,null,SISTERS OF PROVIDENCE
