alf_excel_row,alf_facility,alf_corporate,alf_address,alf_city,alf_state,alf_beds,alf_census,alf_ownership,alf_served,confidence,snf_excel_row,snf_facility,snf_corporate,snf_beds,snf_census,cms_provider,cms_beds,cms_chain,cms_chain_id
5916,HOPKINS CENTER,BLUEGRASS/ENCORE,460 S College St.,Woodburn,KY,31,25,Corporate,Yes,HIGH,5897,HOPKINS NURSING AND REHABILITATION CENTER,ENCORE HEALTH PARTNERS,50,44.4,HOPKINS NURSING AND REHABILITATION CENTER,50.0,ENCORE HEALTH PARTNERS,697.0
5927,KENSINGTON HEALTH CENTER,BLUEGRASS/ENCORE,225 Saint John Rd,Elizabethtown,KY,83,66,Corporate,Yes,HIGH,5921,KENSINGTON NURSING AND REHABILITATION CENTER,ENCORE HEALTH PARTNERS,82,74.1,KENSINGTON NURSING AND REHABILITATION CENTER,82.0,ENCORE HEALTH PARTNERS,697.0
5929,KLONDIKE CENTER,BLUEGRASS/ENCORE,3802 Klondike Ln,Louisville,KY,60,48,Corporate,Yes,HIGH,5925,KLONDIKE NURSING AND REHABILITATION CENTER,ENCORE HEALTH PARTNERS,62,58.7,KLONDIKE NURSING AND REHABILITATION CENTER,62.0,ENCORE HEALTH PARTNERS,697.0
5947,LAKE WAY NURSING AND REHAB,PRINCIPLE,2607 Main St,Benton,KY,40,32,Corporate,Yes,HIGH,5932,LAKE WAY NURSING AND REHABILITATION CENTER,PRINCIPLE LONG TERM CARE,96,84.2,LAKE WAY NURSING AND REHABILITATION CENTER,96.0,PRINCIPLE LONG TERM CARE,423.0
5954,LEXINGTON PREMIER NURSING AND REHAB,EMERALD HEALTHCARE,2770 Palumbo Dr,Lexington,KY,54,43,Corporate,Yes,HIGH,5939,"LEXINGTON PREMIER NURSING & REHAB, LLC",,120,111.4,"LEXINGTON PREMIER NURSING & REHAB, LLC",120.0,,
5955,LIBERTY CARE & REHABILITATION CENTER,SIGNATURE HEALTH,616 S Wallace Wilkinson Blvd,Liberty,KY,51,41,Corporate,Yes,HIGH,5940,LIBERTY CARE AND REHABILITATION CENTER,SIGNATURE HEALTHCARE,97,84,LIBERTY CARE AND REHABILITATION CENTER,97.0,SIGNATURE HEALTHCARE,474.0
5973,MADISONVILLE HEALTH AND REHAB,CLEARVIEW,419 N Seminary St,Madisonville,KY,52,42,Corporate,Yes,HIGH,5957,"MADISONVILLE HEALTH AND REHABILITATION, LLC",SIMCHA HYMAN & NAFTALI ZANZIPER,94,84.6,"MADISONVILLE HEALTH AND REHABILITATION, LLC",94.0,SIMCHA HYMAN & NAFTALI ZANZIPER,580.0
5975,"MADONNA MANOR, INC.",MADONNA MANOR INC,2344 Amsterdam Rd,Villa Hills,KY,40,32,Corporate,No,HIGH,5958,MADONNA MANOR,COMMONSPIRIT HEALTH,60,56.6,MADONNA MANOR,60.0,COMMONSPIRIT HEALTH,151.0
5982,MAPLE GROVE SENIOR LIVING,"MASONIC HOMES OF KENTUCKY, INC",711 Frankfort Rd,Shelbyville,KY,83,66,Corporate,Yes,HIGH,5960,MAPLE GROVE SENIOR LIVING LLC,,117,81.1,MAPLE GROVE SENIOR LIVING LLC,117.0,,
5983,MAPLE GROVE SENIOR LIVING ALF,"MASONIC HOMES OF KENTUCKY, INC",711 Frankfort Rd,Shelbyville,KY,23,18,Corporate,Yes,HIGH,5960,MAPLE GROVE SENIOR LIVING LLC,,117,81.1,MAPLE GROVE SENIOR LIVING LLC,117.0,,
5984,MAPLEWOOD HEALTH & REHABILITATION,INFINITY HEALTHCARE CONSULTING,308 W Maple Ave,Lancaster,KY,61,49,Corporate,Yes,HIGH,5933,LANDMARK OF LANCASTER REHABILITATION AND NURSING C,INFINITY HEALTHCARE CONSULTING,96,88.3,LANDMARK OF LANCASTER REHABILITATION AND NURSING C,96.0,INFINITY HEALTHCARE CONSULTING,763.0
5985,MARTIN COUNTY HEALTH CARE,BLUEGRASS/ENCORE,62 Maude Rd,Inez,KY,59,47,Corporate,Yes,HIGH,5962,MARTIN COUNTY HEALTH CARE FACILITY,BLUEGRASS HEALTH KY,65,59.5,MARTIN COUNTY HEALTH CARE FACILITY,65.0,BLUEGRASS HEALTH KY,748.0
5989,MAYSVILLE NURSING AND REHAB,BLUEGRASS/ENCORE,620 Parker Rd,Maysville,KY,50,40,Corporate,Yes,HIGH,5964,MAYSVILLE NURSING AND REHABILITATION FACILITY,BLUEGRASS HEALTH KY,130,124.3,MAYSVILLE NURSING AND REHABILITATION FACILITY,130.0,BLUEGRASS HEALTH KY,748.0
5992,METCALFE HEALTH CARE CENTER AL,TOPAZ,701 Skyline Dr,Edmonton,KY,2,2,Corporate,Yes,HIGH,5965,METCALFE HEALTH CARE CENTER,,71,57.4,METCALFE HEALTH CARE CENTER,71.0,,
5993,METCALFE HEALTH CARE CENTER SNF,INDEPENDENT,701 Skyline Dr,Edmonton,KY,64,51,Independent,Yes,HIGH,5965,METCALFE HEALTH CARE CENTER,,71,57.4,METCALFE HEALTH CARE CENTER,71.0,,
5994,MIDDLESBORO NURSING AND REHAB,BLUEGRASS/ENCORE,235 New Wilson Ln,Middlesboro,KY,64,51,Corporate,Yes,HIGH,5966,MIDDLESBORO NURSING AND REHABILITATION FACILITY,BLUEGRASS HEALTH KY,95,92.5,MIDDLESBORO NURSING AND REHABILITATION FACILITY,95.0,BLUEGRASS HEALTH KY,748.0
5995,MORGANTOWN CARE AND REHAB CTR,SIGNATURE HEALTH,201 S Warren St,Morgantown,KY,72,58,Corporate,Yes,HIGH,5969,MORGANTOWN CARE & REHABILITATION CENTER,SIGNATURE HEALTHCARE,122,113.5,MORGANTOWN CARE & REHABILITATION CENTER,122.0,SIGNATURE HEALTHCARE,474.0
6012,MOUNTAIN VIEW NURSING AND REHAB,PRINCIPLE,39 Ferndale Apartments Rd,Pineville,KY,61,49,Corporate,Yes,HIGH,5972,MOUNTAIN VIEW NURSING AND REHABILITATION CENTER,PRINCIPLE LONG TERM CARE,115,52.9,MOUNTAIN VIEW NURSING AND REHABILITATION CENTER,115.0,PRINCIPLE LONG TERM CARE,423.0
6017,NHC HEALTHCARE,NATIONAL HEALTHCARE CORPORATION,109 Homewood Blvd,Glasgow,KY,124,99,Corporate,Yes,HIGH,6016,"NHC HEALTHCARE, GLASGOW",NATIONAL HEALTHCARE CORPORATION,194,150,"NHC HEALTHCARE, GLASGOW",194.0,NATIONAL HEALTHCARE CORPORATION,364.0
6019,NICHOLASVILLE NURSING AND REHAB,MAJESTIC CARE,100 Sparks Ave,Nicholasville,KY,66,53,Corporate,Yes,HIGH,6018,NICHOLASVILLE NURSING AND REHABILITATION,DAVID MARX,73,65.7,NICHOLASVILLE NURSING AND REHABILITATION,73.0,DAVID MARX,179.0
6042,PARK GROVE,BLUEGRASS/ENCORE,1500 Pride Ave,Madisonville,KY,37,30,Corporate,Yes,HIGH,6029,PARK GROVE NURSING AND REHABILITATION CENTER,ENCORE HEALTH PARTNERS,71,55.4,PARK GROVE NURSING AND REHABILITATION CENTER,71.0,ENCORE HEALTH PARTNERS,697.0
6047,PILLARS ASSISTED LIVING COMMUNITY,PH CONSULTING,711 Frankfort Rd,Shelbyville,KY,21,17,Independent,No,HIGH,5960,MAPLE GROVE SENIOR LIVING LLC,,117,81.1,MAPLE GROVE SENIOR LIVING LLC,117.0,,
6071,RIDGEWAY NURSING AND REHAB,BLUEGRASS/ENCORE,406 Wyoming Rd,Owingsville,KY,61,49,Corporate,Yes,HIGH,6056,RIDGEWAY NURSING & REHABILITATION FACILITY,BLUEGRASS HEALTH KY,99,88.5,RIDGEWAY NURSING & REHABILITATION FACILITY,99.0,BLUEGRASS HEALTH KY,748.0
6072,RIVER OAKS POST ACUTE,HILL VALLEY HEALTHCARE,920 S 4Th St.,Louisville,KY,74,59,Corporate,Yes,MEDIUM,6059,RIVER OAKS POST ACUTE AND REHABILITATION CENTER,CHRISTIAN CARE COMMUNITIES,122,101.6,,,,
6074,RIVER'S BEND RETIREMENT COMMUNITY,RIVER'S BEND RETIREMENT COMMUNITY,300 Beech St,Kuttawa,KY,36,29,Independent,No,HIGH,6061,RIVER'S BEND RETIREMENT COMMUNITY,,40,36.8,RIVER'S BEND RETIREMENT COMMUNITY,40.0,,
6076,RIVERS EDGE NURSING AND REHABILITATION,PRINCIPLE,6301 Bass Rd,Prospect,KY,93,74,Corporate,Yes,HIGH,6062,RIVERS EDGE NURSING AND REHABILITATION CENTER,PRINCIPLE LONG TERM CARE,100,92,RIVERS EDGE NURSING AND REHABILITATION CENTER,100.0,PRINCIPLE LONG TERM CARE,423.0
6077,ROBERTSON COUNTY HEALTH CARE,BLUEGRASS/ENCORE,1030 Kentontown Rd,Mount Olivet,KY,32,26,Corporate,Yes,HIGH,6065,ROBERTSON COUNTY HEALTH CARE FACILITY,BLUEGRASS HEALTH KY,60,56.2,ROBERTSON COUNTY HEALTH CARE FACILITY,60.0,BLUEGRASS HEALTH KY,748.0
6124,SALEM SPRINGLAKE HEALTH & REHAB CENTER,ATRIUM HEALTH,509 N Hayden Ave,Salem,KY,36,29,Corporate,Yes,HIGH,6081,SALEM SPRINGLAKE HEALTH & REHABILITATION CENTER,ATRIUM CENTERS,75,50.2,SALEM SPRINGLAKE HEALTH & REHABILITATION CENTER,75.0,ATRIUM CENTERS,54.0
6126,SANDERS RIDGE HEALTH CAMPUS,TRILOGY HEALTH SERVICES,119 E Sanders Ln,Mount Washington,KY,35,28,Corporate,No,HIGH,6084,SANDERS RIDGE HEALTH CAMPUS,TRILOGY HEALTH SERVICES,56,51.5,SANDERS RIDGE HEALTH CAMPUS,56.0,TRILOGY HEALTH SERVICES,524.0
