excel_row,facility,corporate_name,address,city,state,ownership_type,do_we_serve,beds,census,data_quality_flag,facility_tags,corporate_tags,all_tags,confidence
17923,CELEBRATION VILLA OF MID VALLEY,SCAGLIOTTI JOSEPH,67 Sturges Rd,Peckville,PA,Independent,No,32,26,,VILLA,,VILLA,MEDIUM
17924,CELEBRATION VILLA OF NITTANY VALLEY,BALANCED CARE REALTY STATE,150 Farmstead Lane,State College,PA,Independent,No,60,48,,VILLA,,VILLA,MEDIUM
17925,CELEBRATION VILLA OF REEDSVILLE,BALANCED CARE REALTY AT,55 Carriage House Lane,Reedsville,PA,Independent,No,72,58,,VILLA,,VILLA,MEDIUM
17926,CELEBRATION VILLA OF SHIPPENSBURG,BCC SHIPPENSBURG REALTY LLC,129 Walnut Bottom Rd,Shippensburg,PA,Independent,No,58,46,,VILLA,,VILLA,MEDIUM
17927,CELEBRATION VILLA OF SOUTH HILLS,PKR ASSOCIATES,5300 Clairton Blvd,Pittsburgh,PA,Independent,No,98,78,,VILLA,,VILLA,MEDIUM
17928,CELEBRATION VILLA OF YORK,MLD DELAWARE TRUST 4119,2405 Knob Hill Road,York,PA,Independent,No,66,53,,VILLA,,VILLA,MEDIUM
17944,CHANDLER PLACE INDEPENDENT LIVING,WHITEHEAD INVESTMENT PROPERTIES INC,745 Dilworth Ln,Rock Hill,SC,Independent,No,120,96,,INDEPENDENT_LIVING,,INDEPENDENT_LIVING,HIGH
17968,CHAUNCEY POINTE SENIOR APARTMENTS,CAMPUS GARDENS LLC,1005 Chauncey Ln,Bowling Green,OH,Independent,No,64,51,,SENIOR_APARTMENTS,,SENIOR_APARTMENTS,HIGH
17975,CHESTERWOOD VILLAGE,HILLANDALE IL LLC,8073 Tylersville Rd,West Chester,OH,Independent,No,282,226,,,IL_ABBREVIATION,IL_ABBREVIATION,LOW
18038,COLUMBIA COTTAGE - LINGLESTOWN,COLUMBIA COTTAGE LINGLESTOWN LLC,1000 Alexandra Lane,Harrisburg,PA,Corporate,No,76,61,,COTTAGE,COTTAGE,COTTAGE,MEDIUM
18039,COLUMBIA COTTAGE COLLEGEVILLE,COLUMBIA COTTAGE-COLLEGEVILLE LLC,901 E Main St,Collegeville,PA,Independent,No,41,33,,COTTAGE,COTTAGE,COTTAGE,MEDIUM
18040,COLUMBIA COTTAGE HERSHEY,COLUMBIA COTTAGE-HERSHEY LLC,103 N Larkspur Dr,Palmyra,PA,Independent,No,52,42,,COTTAGE,COTTAGE,COTTAGE,MEDIUM
18041,COLUMBIA COTTAGE LINGLESTOWN,COLUMBIA COTTAGE LINGLESTOWN LLC,1000 Alexandra Lane,Linglestown,PA,Corporate,No,74,59,,COTTAGE,COTTAGE,COTTAGE,MEDIUM
18042,COLUMBIA COTTAGE OF HANOVER,COLUMBIA COTTAGE HANOVER LLC,2288 Grandview Road,Hanover,PA,Independent,No,41,33,,COTTAGE,COTTAGE,COTTAGE,MEDIUM
18043,COLUMBIA COTTAGE WYOMISSING,COLUMBIA COTTAGE-WYOMISSING HILLS LLC,3121 State Hill Rd,Reading,PA,Independent,No,40,32,,COTTAGE,COTTAGE,COTTAGE,MEDIUM
18092,CONCORDIA AT VILLA ST. JOSEPH PERSONAL CARE,CONCORDIA LUTHERAN MINISTRIES OF PITTSBURGH,1040 State Street,Baden,PA,Corporate,No,127,102,,VILLA,,VILLA,MEDIUM
