alf_excel_row,alf_facility,alf_corporate,alf_address,alf_city,alf_state,alf_beds,alf_census,alf_ownership,alf_served,match_type,snf_excel_row,snf_facility,snf_corporate,snf_beds,cms_provider,cms_beds,cms_chain
6138,SIGNATURE HEALTHCARE OF MONROE COUNTY,SIGNATURE HEALTH,706 N Magnolia St,Tompkinsville,KY,49,39,Corporate,Yes,BOTH,6108,SIGNATURE HEALTHCARE OF MONROE COUNTY REHAB & WELL,SIGNATURE HEALTHCARE,104,SIGNATURE HEALTHCARE OF MONROE COUNTY REHAB & WELL,104.0,SIGNATURE HEALTHCARE
6135,SIGNATURE HEALTHCARE OF COLONIAL,SIGNATURE HEALTH,708 Bartley Ave,Bardstown,KY,67,54,Corporate,Yes,BOTH,6089,SIGNATURE HEALTHCARE AT COLONIAL REHAB & WELLNESS,SIGNATURE HEALTHCARE,65,SIGNATURE HEALTHCARE AT COLONIAL REHAB & WELLNESS,65.0,SIGNATURE HEALTHCARE
18159,COVENANT WOODS,COVENANT WOODS FORMERLY RICHMOND HOME FOR LADIES,7090 Covenant Woods Drive,Mechanicsville,VA,351,281,Independent,No,BOTH,16240,COVENANT WOODS NURSING HOME,,62,COVENANT WOODS NURSING HOME,62.0,
11512,ALOIS ALZHEIMER CENTER,INDEPENDENT,70 Damon Rd,Cincinnati,OH,20,16,Independent,No,BOTH,11511,ALOIS ALZHEIMER CENTER,HEALTH CARE MANAGEMENT GROUP,93,ALOIS ALZHEIMER CENTER,93.0,HEALTH CARE MANAGEMENT GROUP
20312,THE HILLSMAN HOUSE INDEPENDENT LIVING,NHC HEALTHCARE OF TRYON LLC,70 Oak Street,Tryon,NC,170,136,Independent,No,BOTH,9985,WHITE OAK MANOR - TRYON,WHITE OAK MANAGEMENT,70,WHITE OAK MANOR - TRYON,70.0,WHITE OAK MANAGEMENT
5158,SCENIC HILLS CARE CENTER,TRILOGY HEALTH SERVICES,710 Sunrise Dr,Ferdinand,IN,41,33,Corporate,No,BOTH,5119,SCENIC HILLS AT THE MONASTERY,TRILOGY HEALTH SERVICES,88,SCENIC HILLS AT THE MONASTERY,88.0,TRILOGY HEALTH SERVICES
5982,MAPLE GROVE SENIOR LIVING,"MASONIC HOMES OF KENTUCKY, INC",711 Frankfort Rd,Shelbyville,KY,83,66,Corporate,Yes,BOTH,5960,MAPLE GROVE SENIOR LIVING LLC,,117,MAPLE GROVE SENIOR LIVING LLC,117.0,
5983,MAPLE GROVE SENIOR LIVING ALF,"MASONIC HOMES OF KENTUCKY, INC",711 Frankfort Rd,Shelbyville,KY,23,18,Corporate,Yes,BOTH,5960,MAPLE GROVE SENIOR LIVING LLC,,117,MAPLE GROVE SENIOR LIVING LLC,117.0,
6047,PILLARS ASSISTED LIVING COMMUNITY,PH CONSULTING,711 Frankfort Rd,Shelbyville,KY,21,17,Independent,No,BOTH,5960,MAPLE GROVE SENIOR LIVING LLC,,117,MAPLE GROVE SENIOR LIVING LLC,117.0,
5247,TODD DICKEY,AMERICAN SENIOR COMMUNITIES,712 W 2Nd St,Leavenworth,IN,42,34,Corporate,Yes,BOTH,20558,TODD-DICKEY NURSING AND REHABILITATION,712 W SECOND ST SNF LLC,92,TODD-DICKEY NURSING AND REHABILITATION,62.0,AMERICAN SENIOR COMMUNITIES
