alf_excel_row,alf_facility,alf_corporate,alf_address,alf_city,alf_state,alf_beds,alf_census,alf_ownership,alf_served,match_type,snf_excel_row,snf_facility,snf_corporate,snf_beds,cms_provider,cms_beds,cms_chain
19140,MASONIC VILLAGE AT SEWICKLEY,THE MASONIC TEMPLE & OTHER REAL ESTATE OF THE GRAND LODGE,1000 Masonic Dr,Sewickley,PA,470,376,Independent,No,BOTH,13825,MASONIC VILLAGE AT SEWICKLEY,,128,MASONIC VILLAGE AT SEWICKLEY,128.0,
10032,WESLEY PINES RETIREMENT COMMUNITY,"THE UNITED METHODIST RETIREMENT HOMES, INC",1000 Wesley Pines Rd,Lumberton,NC,117,94,Corporate,Yes,BOTH,20792,WESLEY PINES,METHODIST RETIREMENT HOMES INC,88,WESLEY PINES RETIREMENT COMM,62.0,LIFE CARE SERVICES
18944,LANDIS HOMES,LANDIS HOMES RETIREMENT COMMUNITY,1001 E Oregon Rd,Lititz,PA,784,627,Independent,No,BOTH,13774,LANDIS HOMES,,103,LANDIS HOMES,103.0,
11919,CELINA MANOR,HCF MANAGEMENT,1001 Myers Rd,Celina,OH,36,29,Corporate,Yes,BOTH,17930,CELINA MANOR,H C F REALTY OF CELINA INC,97,CELINA MANOR,75.0,HCF MANAGEMENT
4617,BRICKYARD HEALTHCARE - ELKHART,BRICKYARD,1001 W. Hively Ave,Elkhart,IN,117,94,Corporate,Yes,BOTH,4570,BRICKYARD HEALTHCARE - ELKHART CARE CENTER,BRICKYARD HEALTHCARE,175,BRICKYARD HEALTHCARE - ELKHART CARE CENTER,175.0,BRICKYARD HEALTHCARE
5872,GLENVIEW HEALTH AND REHAB,"GLENVIEW HEALTH CARE FACILITY, INC","1002 Glenview Dr,",Glasgow,KY,49,39,Independent,Yes,BOTH,5859,GLENVIEW HEALTH AND REHABILITATION,SIMCHA HYMAN & NAFTALI ZANZIPER,60,GLENVIEW HEALTH AND REHABILITATION,60.0,SIMCHA HYMAN & NAFTALI ZANZIPER
5353,WATERS OF GEORGETOWN,INFINITY HEALTHCARE CONSULTING,1002 Sister Barbara Way,Georgetown,IN,10,8,Corporate,No,BOTH,5287,"WATERS OF GEORGETOWN, THE",INFINITY HEALTHCARE CONSULTING,68,"WATERS OF GEORGETOWN, THE",68.0,INFINITY HEALTHCARE CONSULTING
18919,LAKE PRINCE WOODS,LAKE PRINCE CENTER INC,100 Anna Goode Way,Suffolk,VA,289,231,Independent,No,BOTH,16359,"LAKE PRINCE WOODS, INC",EVERYAGE SENIOR LIVING,40,"LAKE PRINCE WOODS, INC",40.0,EVERYAGE SENIOR LIVING
5775,CARMEL MANOR FORT THOMAS AL,CARMELITE SYSTEM,"100 Carmel Manor Rd,",Fort Thomas,KY,11,9,Corporate,Yes,BOTH,5748,CARMEL MANOR,,95,CARMEL MANOR,95.0,
5776,CARMEL MANOR FORT THOMAS SNF,CARMELITE SYSTEM,"100 Carmel Manor Rd,",Fort Thomas,KY,87,70,Corporate,Yes,BOTH,5748,CARMEL MANOR,,95,CARMEL MANOR,95.0,
16556,THE COLONNADES,INDEPENDENT,100 Colonnades Hill Dr,Charlottesville,VA,72,58,Independent,No,BOTH,16226,COLONNADES HEALTH CARE CENTER,SUNRISE,34,COLONNADES HEALTH CARE CENTER,34.0,SUNRISE SENIOR LIVING
20231,THE COLONNADES,UNIVERSITY OF VIRGINIA FOUNDATION,100 Colonnades Hill Drive,Charlottesville,VA,94,75,Corporate,No,BOTH,16226,COLONNADES HEALTH CARE CENTER,SUNRISE,34,COLONNADES HEALTH CARE CENTER,34.0,SUNRISE SENIOR LIVING
17703,BRIARWOOD VILLAGE,HCF REALTY OF BRIARWOOD INC,100 Don Desch Drive,Coldwater,OH,256,205,Independent,No,BOTH,11706,BRIARWOOD VILLAGE,HCF MANAGEMENT,112,BRIARWOOD VILLAGE,112.0,HCF MANAGEMENT
19717,RICE ESTATE,LOWMAN HOME INC,100 Finley Rd,Columbia,SC,115,92,Corporate,No,BOTH,14370,RICE ESTATE REHABILITATION AND HEALTHCARE,,80,RICE ESTATE REHABILITATION AND HEALTHCARE,80.0,
19542,PIEDMONT CROSSING,EVERYAGE,100 Hedrick Dr,Thomasville,NC,303,242,Independent,No,BOTH,9482,PIEDMONT CROSSING,EVERYAGE SENIOR LIVING,104,PIEDMONT CROSSING,104.0,EVERYAGE SENIOR LIVING
19190,MESSIAH LIFEWAYS AT MESSIAH VILLAGE,MESSIAH HOME,100 Mount Allen Dr,Mechanicsburg,PA,673,538,Independent,No,BOTH,13837,MESSIAH LIFEWAYS AT MESSIAH VILLAGE,,118,MESSIAH LIFEWAYS AT MESSIAH VILLAGE,118.0,
19908,SHERWOOD OAKS,PITTSBURGH LIFETIME,100 Norman Dr,Cranberry Township,PA,375,300,Independent,No,BOTH,13996,SHERWOOD OAKS,UPMC SENIOR COMMUNITIES,43,SHERWOOD OAKS,43.0,UPMC SENIOR COMMUNITIES
19422,OTTERBEIN - CRIDERSVILLE RETIREMENT COMMUNITY,,100 Red Oak Drive,Cridersville,OH,263,210,Independent,No,BOTH,12509,OTTERBEIN-CRIDERSVILLE,OTTERBEIN SENIORLIFE,50,OTTERBEIN-CRIDERSVILLE,50.0,OTTERBEIN SENIORLIFE
11659,BEACON HOUSE,INDEPENDENT,100 Reservoir Rd,Saint Clairsville,OH,62,50,Independent,No,DB_SNF_ONLY,17599,BEACON HOUSE SENIOR LIVING CENTER,FOREST HILL NURSING & REHAB CENTER PROPCO LLC,150,,,
12187,JAG HEALTHCARE SHELBY,JAG,100 Rogers Ln,Shelby,OH,42,34,Corporate,Yes,BOTH,12655,"SHELBY POINTE, INC",JAG HEALTHCARE,45,"SHELBY POINTE, INC",45.0,JAG HEALTHCARE
18518,GOOD SAMARITAN SOCIETY-FAIRFIELD GLADE,EVANGELICAL LUTHERAN GOOD,100 Samaritan Way,Crossville,TN,261,209,Independent,No,BOTH,14621,GOOD SAMARITAN SOCIETY - FAIRFIELD GLADE,GOOD SAMARITAN SOCIETY,60,GOOD SAMARITAN SOCIETY - FAIRFIELD GLADE,60.0,GOOD SAMARITAN SOCIETY
9678,SILVER BLUFF VILLAGE-ARROWHEAD COVE (VILLAGE HOME,LIBERTY,100 Silver Bluff Dr,Canton,NC,12,10,Corporate,Yes,BOTH,9637,SILVER BLUFF INC,,131,SILVER BLUFF INC,131.0,
9679,SILVER BLUFF VILLAGE-SNF,LIBERTY,100 Silver Bluff Dr,Canton,NC,86,69,Corporate,Yes,BOTH,9637,SILVER BLUFF INC,,131,SILVER BLUFF INC,131.0,
6019,NICHOLASVILLE NURSING AND REHAB,MAJESTIC CARE,100 Sparks Ave,Nicholasville,KY,66,53,Corporate,Yes,BOTH,6018,NICHOLASVILLE NURSING AND REHABILITATION,DAVID MARX,73,NICHOLASVILLE NURSING AND REHABILITATION,73.0,DAVID MARX
9238,HICKORY FALLS HEALTH & REHAB,SANSTONE,100 Sunset St.,Granite Falls,NC,99,79,Corporate,Yes,BOTH,9185,HICKORY FALLS HEALTH AND REHABILITATION,SANSTONE HEALTH & REHABILITATION,120,HICKORY FALLS HEALTH AND REHABILITATION,120.0,SANSTONE HEALTH & REHABILITATION
12616,ROSCOE GARDENS SKILLED NURSING AND REHAB,CITADEL HEALTHCARE,100 S Whitewoman St,Coshocton,OH,36,29,Corporate,Yes,BOTH,12669,SIGNATURE HEALTHCARE OF COSHOCTON,SIGNATURE HEALTHCARE,72,SIGNATURE HEALTHCARE OF COSHOCTON,72.0,SIGNATURE HEALTHCARE
20853,WILLOW BROOK AT CHRISTIAN VILLAGE,WILLOW BROOK CHRISTIAN COMMUNITIES INC,100 Willow Brook Way S,Delaware,OH,215,172,Corporate,No,BOTH,11833,CHERITH CARE CENTER AT WILLOW BROOK,,34,CHERITH CARE CENTER AT WILLOW BROOK,34.0,
6242,WURTLAND NURSING AND REHAB,MAJESTIC CARE,100 Wurtland Ave,Wurtland,KY,44,35,Corporate,Yes,BOTH,6230,WURTLAND NURSING AND REHABILITATION,DAVID MARX,126,WURTLAND NURSING AND REHABILITATION,126.0,DAVID MARX
9537,PINEVILLE REHAB AND LIVING CENTER,CCH HEALTHCARE,1010 Lakeview Dr,Pineville,NC,58,46,Corporate,Yes,BOTH,9488,PINEVILLE REHABILITATION AND LIVING CTR,CCH HEALTHCARE,106,PINEVILLE REHABILITATION AND LIVING CTR,106.0,CCH HEALTHCARE
18524,GRACE BRETHREN VILLAGE,GRACE BRETHERN VILLAGE INC,1010 Taywood Rd,Englewood,OH,128,102,Independent,No,BOTH,12081,GRACE BRETHREN VILLAGE,,45,GRACE BRETHREN VILLAGE,45.0,
11964,DIVINE REHABILITATION AND NURSING OF TOLEDO,DMH OHIO,1011 N Byrne Rd,Toledo,OH,40,32,Independent,Yes,BOTH,11953,DIVINE REHABILITATION AND NURSING AT TOLEDO,DIVINE HEALTHCARE MANAGEMENT,93,DIVINE REHABILITATION AND NURSING AT TOLEDO,93.0,DIVINE HEALTHCARE MANAGEMENT
6191,THE OAKS ASSISTED LIVING,PACS GROUP,1012 Richwood Way,Lagrange,KY,24,19,Corporate,No,BOTH,6055,RICHWOOD NURSING & REHAB,PACS GROUP,120,RICHWOOD NURSING & REHAB,120.0,PACS GROUP
5009,MILL POND HEALTH CAMPUS,TRILOGY HEALTH SERVICES,1014 Mill Pond Ln,Greencastle,IN,39,31,Corporate,No,BOTH,4971,MILL POND HEALTH CAMPUS,TRILOGY HEALTH SERVICES,68,MILL POND HEALTH CAMPUS,68.0,TRILOGY HEALTH SERVICES
12529,PARK VILLAGE SOUTHSIDE,INDEPENDENT,1019 Oldtown Valley Rd SE,New Philadelphia,OH,72,58,Independent,No,BOTH,12527,PARK VILLAGE HC NP LLC,,40,PARK VILLAGE HC NP LLC,40.0,
19485,"PARK VILLAGE AL, NP, LLC",PARK VILLAGE DEVELOPMENT LLC,1019 Oldtown Valley Road Se,New Philadelphia,OH,120,96,Independent,No,BOTH,12527,PARK VILLAGE HC NP LLC,,40,PARK VILLAGE HC NP LLC,40.0,
20868,WILLOWS AT BELLEVUE THE,TRILOGY REAL ESTATE BELLEVUE LLC,101 Auxiliary Drive,Bellevue,OH,123,98,Independent,No,BOTH,13022,WILLOWS AT BELLEVUE,TRILOGY HEALTH SERVICES,60,WILLOWS AT BELLEVUE,60.0,TRILOGY HEALTH SERVICES
5899,HARDINSBURG NURSING AND REHABILITATION,TOPAZ,"101 Fairgrounds Rd,",Hardinsburg,KY,42,34,Corporate,Yes,BOTH,5880,HARDINSBURG NURSING AND REHABILITATION CENTER,BENJAMIN LANDA,63,HARDINSBURG NURSING AND REHABILITATION CENTER,63.0,BENJAMIN LANDA
21465,Baptist Homes Of Arcadia Valley,Baptist Homes & Healthcare Ministries,101 Riggs Scott Lane,Ironton,MO,56,45,Corporate,No,BOTH,7949,BAPTIST HOMES OF ARCADIA VALLEY,,36,BAPTIST HOMES OF ARCADIA VALLEY,36.0,
20314,THE HOMEPLACE AT MIDWAY,THE HOMEPLACE AT MIDWAY INC,101 Sexton Way,Midway,KY,118,94,Independent,No,BOTH,6152,THE HOME PLACE AT MIDWAY,CHRISTIAN CARE COMMUNITIES,28,THE HOME PLACE AT MIDWAY,28.0,CHRISTIAN CARE COMMUNITIES
5174,SPRING MILL HEALTH CAMPUS,CASA CONSULTING,101 W 87Th Ave,Merrillville,IN,105,84,Corporate,No,BOTH,5135,SPRING MILL HEALTH CAMPUS,CASA CONSULTING,64,SPRING MILL HEALTH CAMPUS,64.0,CASA CONSULTING
22255,Clark-lindsey Village Inc.,"Clark Lindsey Village, Inc.",101 W. Windsor Road,Urbana,IL,64,51,Independent,No,BOTH,4029,CLARK-LINDSEY VILLAGE,,25,CLARK-LINDSEY VILLAGE,25.0,
5197,SWISS VILLA NURSING AND REHAB,AMERICAN SENIOR COMMUNITIES,1023 W Main St,Vevay,IN,32,26,Corporate,Yes,BOTH,5153,SWISS VILLA NURSING AND REHABILITATION,AMERICAN SENIOR COMMUNITIES,72,SWISS VILLA NURSING AND REHABILITATION,72.0,AMERICAN SENIOR COMMUNITIES
17501,ASBURY TOWERS RETIREMENT COMMUNITY,ASBURY TOWERS RETIREMENT COMMUNITY INC UNITED MET,102 W Poplar St,Greencastle,IN,128,102,Independent,No,BOTH,4507,ASBURY TOWERS HEALTH CARE CENTER,,48,ASBURY TOWERS HEALTH CARE CENTER,48.0,
5360,WELLBROOKE OF AVON,TRILOGY HEALTH SERVICES,10307 E County Rd 100 N,Indianapolis,IN,54,43,Corporate,No,BOTH,20770,WELLBROOKE OF AVON,,96,WELLBROOKE OF AVON,70.0,TRILOGY HEALTH SERVICES
6077,ROBERTSON COUNTY HEALTH CARE,BLUEGRASS/ENCORE,1030 Kentontown Rd,Mount Olivet,KY,32,26,Corporate,Yes,BOTH,6065,ROBERTSON COUNTY HEALTH CARE FACILITY,BLUEGRASS HEALTH KY,60,ROBERTSON COUNTY HEALTH CARE FACILITY,60.0,BLUEGRASS HEALTH KY
4527,APERION CARE DEMOTTE,APERION CARE,10352 N 600 E County Line Rd,Demotte,IN,16,13,Corporate,No,BOTH,4493,APERION CARE DEMOTTE,APERION CARE,93,APERION CARE DEMOTTE,93.0,APERION CARE
12935,VANCREST OF SAINT MARYS,INDEPENDENT,1035 Hager St,Saint Marys,OH,42,34,Independent,No,DB_SNF_ONLY,20649,VANCREST OF ST MARYS ASSISTED LIVING,GRAND LAKE HEALTH FACILITIES LLC,92,,,
16496,SOUTH BOSTON HEALTH & REHAB CENTER - SNF,SABER HEALTHCARE GROUP,103 Rosehill Dr,South Boston,VA,92,74,Corporate,Yes,BOTH,16477,SOUTH BOSTON HEALTH & REHAB CENTER,SABER HEALTHCARE GROUP,216,SOUTH BOSTON HEALTH & REHAB CENTER,216.0,SABER HEALTHCARE GROUP
6173,TERRACE NURSING AND REHAB,BLUEGRASS/ENCORE,1043 Brooklyn Blvd,Berea,KY,75,60,Corporate,Yes,BOTH,6158,THE TERRACE NURSING AND REHABILITATION CENTER,BLUEGRASS HEALTH KY,102,THE TERRACE NURSING AND REHABILITATION CENTER,102.0,BLUEGRASS HEALTH KY
9015,CLEAR CREEK NURSING AND REHABILITATION CENTER,PRINCIPLE,10506 Clear Creek Commerce Dr,Mint Hill,NC,87,70,Corporate,Yes,BOTH,8926,CLEAR CREEK NURSING & REHABILITATION CENTER,PRINCIPLE LONG TERM CARE,120,CLEAR CREEK NURSING & REHABILITATION CENTER,120.0,PRINCIPLE LONG TERM CARE
12865,THE WILLOWS AT WILLARD,INDEPENDENT,1050 Neal Zick Rd,Willard,OH,37,30,Independent,No,BOTH,20869,WILLOWS AT WILLARD THE,TRILOGY HEALTH SERVICES,116,WILLOWS AT WILLARD THE,69.0,TRILOGY HEALTH SERVICES
4704,CUMBERLAND POINTE HEALTH CAMPUS,TRILOGY HEALTH SERVICES,1051 Cumberland Ave,West Lafayette,IN,126,101,Corporate,No,BOTH,4668,CUMBERLAND POINTE HEALTH CAMPUS,TRILOGY HEALTH SERVICES,71,CUMBERLAND POINTE HEALTH CAMPUS,71.0,TRILOGY HEALTH SERVICES
19508,PASSAVANT COMMUNITY,,105 Burgess Drive,Zelienople,PA,438,350,Independent,No,BOTH,13894,PASSAVANT RETIREMENT AND HEALT,,102,PASSAVANT RETIREMENT AND HEALT,102.0,
6199,THE VILLAGE OF LEBANON,THE VILLAGE OF LEBANON,105 Village Way,Lebanon,KY,29,23,Independent,No,BOTH,6160,"THE VILLAGE OF LEBANON II, LLC",,64,"THE VILLAGE OF LEBANON II, LLC",64.0,
6215,VILLAGE OF LEBANON,INDEPENDENT,105 Village Way,Lebanon,KY,44,35,Independent,Yes,BOTH,6160,"THE VILLAGE OF LEBANON II, LLC",,64,"THE VILLAGE OF LEBANON II, LLC",64.0,
22497,Dacier Manor,Advent Christian Village,10676 Marvin Jones Blvd,Live Oak,FL,60,48,Independent,No,BOTH,2481,GOOD SAMARITAN CENTER,,161,GOOD SAMARITAN CENTER,161.0,
9541,PREMIER LIVING AND REHAB,INDEPENDENT,106 Cameron St,Lake Waccamaw,NC,76,61,Independent,Yes,BOTH,9491,PREMIER LIVING AND REHAB CENTER,,127,PREMIER LIVING AND REHAB CENTER,127.0,
6140,SOMERSET NURSING AND REHAB,BLUEGRASS/ENCORE,106 Gover St,Somerset,KY,67,54,Corporate,Yes,BOTH,6111,SOMERSET NURSING AND REHABILITATION FACILITY,BLUEGRASS HEALTH KY,123,SOMERSET NURSING AND REHABILITATION FACILITY,123.0,BLUEGRASS HEALTH KY
5045,OTTERBEIN FRANKLIN - ALF,OTTERBEIN SENIOR LIFE,1070 W Jefferson St,Franklin,IN,74,59,Corporate,Yes,BOTH,5036,OTTERBEIN FRANKLIN SENIORLIFE COMM RES & COM CARE,OTTERBEIN SENIORLIFE,208,OTTERBEIN FRANKLIN SENIORLIFE COMM RES & COM CARE,208.0,OTTERBEIN SENIORLIFE
5046,OTTERBEIN FRANKLIN - SNF,OTTERBEIN SENIOR LIFE,1070 W Jefferson St,Franklin,IN,126,101,Corporate,Yes,BOTH,5036,OTTERBEIN FRANKLIN SENIORLIFE COMM RES & COM CARE,OTTERBEIN SENIORLIFE,208,OTTERBEIN FRANKLIN SENIORLIFE COMM RES & COM CARE,208.0,OTTERBEIN SENIORLIFE
19975,SPIRITRUST LUTHERAN THE VILLAGE AT GETTYSBURG,LUTHERAN SOCIAL SERVICES SOUTH REGION,1075 Old Harrisburg Rd,Gettysburg,PA,153,122,Independent,No,BOTH,14013,SPIRITRUST LUTHERAN THE VILLAGE AT GETTYSBURG,,60,SPIRITRUST LUTHERAN THE VILLAGE AT GETTYSBURG,60.0,
5803,CREEKWOOD NURSING AND REHABILITATION,CLEARVIEW,"107 Boyles Dr,",Russellville,KY,57,46,Corporate,Yes,BOTH,5766,CREEKWOOD NURSING & REHABILITATION,SIMCHA HYMAN & NAFTALI ZANZIPER,104,CREEKWOOD NURSING & REHABILITATION,104.0,SIMCHA HYMAN & NAFTALI ZANZIPER
9161,GRACE NURSING CENTER,"GRACE MANAGEMENT, INC",109 Foothills Dr,Morganton,NC,47,38,Corporate,Yes,BOTH,9140,GRACE HEIGHTS HEALTH & REHABILITATION,SANSTONE HEALTH & REHABILITATION,120,GRACE HEIGHTS HEALTH & REHABILITATION,120.0,SANSTONE HEALTH & REHABILITATION
6017,NHC HEALTHCARE,NATIONAL HEALTHCARE CORPORATION,109 Homewood Blvd,Glasgow,KY,124,99,Corporate,Yes,BOTH,6016,"NHC HEALTHCARE, GLASGOW",NATIONAL HEALTHCARE CORPORATION,194,"NHC HEALTHCARE, GLASGOW",194.0,NATIONAL HEALTHCARE CORPORATION
17984,CHRIST THE KING MANOR,CHRIST THE KING MANOR INC,1100 West Long Avenue,Dubois,PA,370,296,Independent,No,BOTH,13564,CHRIST THE KING MANOR,,160,CHRIST THE KING MANOR,160.0,
16572,THE VIRGINIA HOME,INDEPENDENT,1101 Hampton St,Richmond,VA,72,58,Independent,No,BOTH,16541,THE VIRGINIA HOME,,130,THE VIRGINIA HOME,130.0,
9521,PEAK RESOURCES SHELBY,PEAK RESOURCES,1101 N Morgan St,Shelby,NC,86,69,Corporate,Yes,BOTH,9470,PEAK RESOURCES - SHELBY,,100,PEAK RESOURCES - SHELBY,100.0,
4686,CHESTERTON MANOR,ADAMS COUNTY MEMORIAL HOSPITAL,110 Beverly Dr,Chesterton,IN,21,17,Corporate,Yes,BOTH,4644,CHESTERTON MANOR,IDE MANAGEMENT GROUP,100,CHESTERTON MANOR,100.0,IDE MANAGEMENT GROUP
9004,CHERRY POINT BAY NURSING AND REHAB CENTER,PRINCIPLE,110 Mccotter Blvd,Havelock,NC,47,38,Corporate,Yes,BOTH,17969,CHERRY POINT BAY NURSING AND REHABILITATION CENTER,HILLCO LTD,80,CHERRY POINT BAY NURSING AND REHABILITATION CENTER,70.0,PRINCIPLE LONG TERM CARE
20114,SUMMIT HILLS,NHI-REIT OF SEASIDE LLC,110 Summit Hills Drive,Spartanburg,SC,229,183,Corporate,No,BOTH,14393,SUMMIT HILLS SKILLED NURSING FACILITY,SENIOR LIVING COMMUNITIES,27,SUMMIT HILLS SKILLED NURSING FACILITY,27.0,SENIOR LIVING COMMUNITIES
12330,MAPLE KNOLL VILLAGE,INDEPENDENT,11100 Springfield Pike,Cincinnati,OH,508,406,Independent,No,BOTH,12329,MAPLE KNOLL VILLAGE,,90,MAPLE KNOLL VILLAGE,90.0,
14435,WESLEY COMMONS ASSISTED LIVING,WESLEY COMMONS ASSISTED LIVING,1110 Marshall Rd,Greenwood,SC,70,56,Independent,No,BOTH,14420,WESLEY COMMONS HEALTH AND REHABILITATION CENTER,,80,WESLEY COMMONS HEALTH AND REHABILITATION CENTER,80.0,
4623,BROOKSIDE VILLAGE,CARDON & ASSOCIATES,1111 Church Ave,Jasper,IN,78,62,Corporate,No,BOTH,4592,BROOKSIDE VILLAGE INC,CARDON & ASSOCIATES,27,BROOKSIDE VILLAGE INC,27.0,CARDON & ASSOCIATES
4624,BROOKSIDE VILLAGE INC,CARDON & ASSOCIATES,1111 Church Ave,Jasper,IN,15,12,Corporate,Yes,BOTH,4592,BROOKSIDE VILLAGE INC,CARDON & ASSOCIATES,27,BROOKSIDE VILLAGE INC,27.0,CARDON & ASSOCIATES
12520,OTTERBEIN UNION TOWNSHIP,OTTERBEIN SENIOR LIFE,1114 Neighborhood Dr,Batavia,OH,40,32,Corporate,Yes,BOTH,12508,OTTERBEIN UNION TOWNSHIP,OTTERBEIN SENIORLIFE,60,OTTERBEIN UNION TOWNSHIP,60.0,OTTERBEIN SENIORLIFE
5372,WESTMINSTER VILLAGE,RUSH MEMORIAL,1120 E Davis Dr,Terre Haute,IN,29,23,Corporate,Yes,BOTH,5325,WESTMINSTER VILLAGE HEALTH & REHAB,,78,WESTMINSTER VILLAGE HEALTH & REHAB,78.0,
4671,CARDINAL NURSING AND REHAB,AMERICAN SENIOR COMMUNITIES,1121 E Lasalle Ave,South Bend,IN,62,50,Corporate,Yes,BOTH,4630,CARDINAL NURSING AND REHABILITATION CENTER,AMERICAN SENIOR COMMUNITIES,144,CARDINAL NURSING AND REHABILITATION CENTER,144.0,AMERICAN SENIOR COMMUNITIES
12886,TRIPLE CREEK RETIREMENT COMMUNITY,INDEPENDENT,11230 Pippin Rd,Cincinnati,OH,38,30,Independent,No,BOTH,12885,TRIPLE CREEK RETIREMENT COMMUNITY,TRILOGY HEALTH SERVICES,56,TRIPLE CREEK RETIREMENT COMMUNITY,56.0,TRILOGY HEALTH SERVICES
19423,OTTERBEIN - ST. MARYS RETIREMENT  COMMUNITY,OTTERBEIN ST MARYS LLC,11230 State Route 364,St Marys,OH,295,236,Independent,No,BOTH,12505,OTTERBEIN ST MARYS RETIREMENT COMMUNITY,OTTERBEIN SENIORLIFE,53,OTTERBEIN ST MARYS RETIREMENT COMMUNITY,53.0,OTTERBEIN SENIORLIFE
5822,DOVER NURSING AND REHAB,BLUEGRASS/ENCORE,112 Dover Dr,Georgetown,KY,62,50,Corporate,Yes,BOTH,5811,DOVER NURSING & REHABILITATION CENTER,BLUEGRASS HEALTH KY,85,DOVER NURSING & REHABILITATION CENTER,85.0,BLUEGRASS HEALTH KY
22727,Evergreen Garden Place,"Evergreen Retirement Community, Inc.",1130 North Westfield Street,Oshkosh,WI,20,16,Corporate,No,BOTH,16954,EVERGREEN HEALTH CENTER,,80,EVERGREEN HEALTH CENTER,80.0,
12398,MOUNT VERNON HEALTH AND REHABILITATION CENTER,INDEPENDENT,1135 Gambier Rd,Mount Vernon,OH,20,16,Independent,No,BOTH,11515,ALS MOUNT VERNON INC,LIONSTONE CARE,20,ALS MOUNT VERNON INC,20.0,LIONSTONE CARE
16563,THE HAMILTON ASSISTED LIVING,INDEPENDENT,113 Battle Rd,Yorktown,VA,72,58,Independent,No,BOTH,20923,YORK NURSING & REHABILITATION CENTER,VIRGINIA HEALTH SERVICES,120,YORK NURSING & REHABILITATION  CENTER,80.0,VIRGINIA HEALTH SERVICES
5038,OAKWOOD HEALTH CAMPUS,TRILOGY HEALTH SERVICES,1143 23Rd St,Tell City,IN,26,21,Corporate,No,BOTH,5033,OAKWOOD HEALTH CAMPUS,TRILOGY HEALTH SERVICES,98,OAKWOOD HEALTH CAMPUS,98.0,TRILOGY HEALTH SERVICES
12737,SANCTUARY POINTE NURSING AND REHAB,CARING PLACE HEALTHCARE,11501 Hamilton Ave,Cincinnati,OH,61,49,Corporate,Yes,BOTH,12634,SANCTUARY POINTE NURSING & REHABILITATION CENTER,CARING PLACE HEALTHCARE,124,SANCTUARY POINTE NURSING & REHABILITATION CENTER,124.0,CARING PLACE HEALTHCARE GROUP
24352,Park Place Christian Community,unknown,1150 Euclid Avenue,Elmhurst,IL,66,53,Corporate,No,BOTH,4304,PARK PLACE CHRISTIAN COMMUNITY,,37,PARK PLACE CHRISTIAN COMMUNITY,37.0,
19401,OHIO LIVING ROCKYNOL,OHIO COMMUNITIES,1150 W Market St,Akron,OH,179,143,Corporate,No,BOTH,12467,OHIO LIVING ROCKYNOL,OHIO LIVING COMMUNITIES,36,OHIO LIVING ROCKYNOL,36.0,OHIO LIVING COMMUNITIES
20824,WEXNER HERITAGE VILLAGE: HERITAGE HOUSE,HERITAGE TOWER COLUMBUS LLC,1151 College Ave,Columbus,OH,199,159,Corporate,No,BOTH,13006,WEXNER HERITAGE HOUSE,,99,WEXNER HERITAGE HOUSE,99.0,
9284,KING HEALTH AND REHABILITATION CENTER,MFA,115 White Rd,King,NC,105,84,Corporate,Yes,BOTH,9950,UNIVERSAL HEALTH CARE/KING,LIFEWORKS REHAB,96,UNIVERSAL HEALTH CARE/KING,96.0,LIFEWORKS REHAB
8985,CARROLTON OF LUMBERTON,CARROLTON,1170 Linkhaw Rd,Lumberton,NC,91,73,Corporate,Yes,BOTH,9752,THE CARROLTON OF LUMBERTON,CARROLTON,90,THE CARROLTON OF LUMBERTON,90.0,CARROLTON NURSING HOMES
13058,WOODS EDGE REHAB & NURSING,BLUE CENTRAL GROUP?,1171 Towne St,Cincinnati,OH,78,62,Independent,Yes,BOTH,13044,WOODS EDGE REHAB AND NURSING,,93,WOODS EDGE REHAB AND NURSING,93.0,
4881,HERITAGE POINTE OF HUNTINGTON,HERITAGE POINTE COMMUNITIES,1180 W 500 N,Huntington,IN,108,86,Corporate,No,BOTH,4826,HERITAGE POINTE OF HUNTINGTON,,78,HERITAGE POINTE OF HUNTINGTON,78.0,
4858,HAMILTON TRACE OF FISHERS,CARDON & ASSOCIATES,11851 Cumberland Rd,Fishers,IN,102,82,Corporate,No,BOTH,4807,HAMILTON TRACE OF FISHERS,CARDON & ASSOCIATES,108,HAMILTON TRACE OF FISHERS,108.0,CARDON & ASSOCIATES
17802,BROOKRIDGE,BAPTIST RETIREMENT HOMES INC,1199 Hayes Forest Dr,Winston Salem,NC,254,203,Independent,No,BOTH,8771,BROOKRIDGE RETIREMENT COMMUNITY,,51,BROOKRIDGE RETIREMENT COMMUNITY,51.0,
6126,SANDERS RIDGE HEALTH CAMPUS,TRILOGY HEALTH SERVICES,119 E Sanders Ln,Mount Washington,KY,35,28,Corporate,No,BOTH,6084,SANDERS RIDGE HEALTH CAMPUS,TRILOGY HEALTH SERVICES,56,SANDERS RIDGE HEALTH CAMPUS,56.0,TRILOGY HEALTH SERVICES
8988,CARROLTON OF WILLIAMSTON,CARROLTON,119 Gatling St,Williamston,NC,122,98,Corporate,Yes,BOTH,9755,THE CARROLTON OF WILLIAMSTON,CARROLTON,154,THE CARROLTON OF WILLIAMSTON,154.0,CARROLTON NURSING HOMES
