addr_key,glr_facility_name,glr_type,glr_beds,glr_census,glr_patients,glr_cmsccn,glr_status,glr_parent_company,city,state,zip,pc,psych,mh,pod,pain,wc,spec
202 SMOKETREE WAY,Louisburg Healthcare & Rehabilitation Center,SNFMD,NULL,NULL,90,345358,Established,Liberty,Louisburg,North Carolina,27549,69,0,0,0,0,15,0
2020 CAMBRIDGE DR,Cambridge Nursing and Rehabilitation Center,SNF,NULL,NULL,65,185444,Established,Bluegrass/Encore,Lexington,Kentucky,40504,61,0,0,0,0,0,0
20212 LEESVILLE RD,RUNK & PRATT LEESVILLE-ALF,AL,NULL,NULL,14,NULL,Established,Runk & Pratt,LYNCHBURG,Virginia,24502,14,0,0,0,0,0,0
2026 E 54TH ST,American Village,SNF,150,128,47,155292,Established,AMERICAN SENIOR COMMUNITIES,Indianapolis,Indiana,46220,0,0,0,0,0,0,0
203 BRUCE CT,Henson Park Health & Rehabilitation,SNF,NULL,NULL,58,185264,Established,INFINITY HEALTHCARE CONSULTING,Danville,Kentucky,40422,31,0,0,0,0,0,0
203 MCCRACKEN ST,McCracken Rest Home,AL,NULL,NULL,15,NULL,Established,INDEPENDENT,Waynesville,North Carolina,28713,14,0,0,0,0,0,0
203 SPARKS AVE,Hillcrest Village,AL/SNF,NULL,NULL,85,155203,Established,AMERICAN SENIOR COMMUNITIES,JEFFERSONVILLE,Indiana,47130,81,0,0,0,0,0,0
203 W FRANCISCAN DR,"St Anthony, Majestic Care",SNF,192,178,119,155214,Established,Majestic Care,Crown Point,Indiana,46307,114,0,0,0,0,0,0
2030 CHESTER BLVD,Friends Fellowship Communities,AL/SNF,217,94,0,NULL,Established,"Friends Fellowship Communities, Inc.",Richmond,Indiana,47374,0,0,0,0,0,0,0
204 OLD BRICKYARD RD,Wilkesboro Health and Rehabilitation,SNFMD,NULL,NULL,181,345401,Established,SANSTONE,North Wilkesboro,North Carolina,28659,164,0,0,0,0,61,0
2040 MILTON RD,Willow Ridge,AL,NULL,NULL,38,NULL,Established,ALG,Charlotte,North Carolina,28215,2,0,0,0,0,0,0
2041 NC 210 N,Green Leaf Care Center,AL,NULL,NULL,61,NULL,Established,Saber Healthcare Group,Lillington,North Carolina,27546,59,0,0,0,0,18,57
2041 WILLOW RD,Guilford Health Care Center,SNF,NULL,NULL,82,345460,Established,MFA,Greensboro,North Carolina,27406,73,0,0,0,0,0,0
2045 VALLEY VIEW DR,Heritage Hall - Big Stone Gap,SNFMD,178,158,170,495135,Established,AMERICAN HEALTHCARE LLC,Big Stone Gap,Virginia,24219,114,0,0,0,0,1,0
205 E SIXTH ST,Clegail Professional Services,AL/MC,NULL,24,29,NULL,Established,INDEPENDENT,Burlington,North Carolina,27215,24,0,0,0,0,4,0
