addr_key,glr_facility_name,glr_type,glr_beds,glr_census,glr_patients,glr_cmsccn,glr_status,glr_parent_company,city,state,zip,pc,psych,mh,pod,pain,wc,spec
250 MASONIC HOME DR,Cresent Grove,Personal Care Home,95,90,26,NULL,Established,MASONIC HOMES OF KENTUCKY INC,Louisville,Kentucky,40041,25,0,0,0,0,0,0
"250 MCDAVID BLVD, GRAYSON, KY 41143",Carter Nursing and Rehabilitation,SNF,120,112,85,185253,Established,Majestic Care,Grayson,Kentucky,41143,83,0,0,0,0,0,0
250 NC 210,Meadowview,AL,60,55,43,NULL,Established,Saber Healthcare Group,Smithfield,North Carolina,27577,35,0,0,0,0,10,0
250 NICHOLS CT,THE BLAKE AT CHARLOTTESVILLE-ALF,AL,NULL,NULL,15,NULL,Established,Quality Senior Living Partners,CHARLOTTESVILLE,Virginia,22901,10,0,0,0,0,0,0
250 PITTS ST,Shuler Health Care,AL,NULL,NULL,55,NULL,Established,INDEPENDENT,Kernersville,North Carolina,27284,36,0,0,0,0,10,0
250 SHENANDOAH DR,Traditions of Lafayette,AL,86,72,21,NULL,Established,FIVE STAR SENIOR LIVING,Lafayette,Indiana,47905,19,0,0,0,0,0,0
250 W CENTRAL AVE,Genesis HCR of Ashland TWO,Personal Care Home,22,20,18,NULL,Established,INDEPENDENT,Ashland,Kentucky,41101,16,0,0,0,0,0,0
2500 N ELM ST,Henderson Nursing and Rehab,SNF,NULL,NULL,88,NULL,Established,NULL,Henderson,KY,42420,1,0,0,0,0,0,0
2500 POLO RIDGE CT,Pruitt Place Winston Salem,AL/MC,NULL,NULL,58,NULL,Established,PRUITT HEALTH,Winston-Salem,North Carolina,27106,52,0,0,0,0,7,0
2502 S NC HWY 119,"Compass Healthcare and Rehab Hawfields, Inc",SNF,NULL,NULL,37,345363,Established,TODD NUNN,Mebane,North Carolina,27302,27,0,0,0,0,0,0
2515 FOWLER SECREST RD,Woodridge,AL,NULL,NULL,66,NULL,Established,ALG,Monroe,North Carolina,28110,55,0,0,0,0,14,58
2521 MURIEL DR,Valley Pines,AL,NULL,NULL,10,NULL,Established,INDEPENDENT,Fayetteville,North Carolina,28306,9,0,0,0,0,2,0
2526 W 10TH ST,Davco Personal Care Home,AL,NULL,NULL,0,NULL,Established,DAVCO,OWENSBORO,Kentucky,42301,0,0,0,0,0,0,0
2528 BYPASS RD,Hellenic Senior Living - Elkhart,AL,125,115,21,NULL,Established,Ahepa Senior Living (ASL),ELKHART,Indiana,46514,19,0,0,0,0,2,0
2530 16TH ST NORTHEAST,Brookdale Hickory Northeast,AL,NULL,NULL,38,NULL,Established,BROOKDALE SENIOR LIVING,Hickory,North Carolina,28601,32,0,0,0,0,9,0
255 MEADOW DR,Danville Regional Rehabilitation,SNF,110,105,39,155132,Established,AMERICAN SENIOR COMMUNITIES,Danville,Indiana,46122,0,0,0,0,0,0,0
2550 IOWA AVE,Caroleton Healthcare Center,SNF,NULL,NULL,69,155387,Established,Communicare,CONNERSVILLE,Indiana,47331,65,0,0,0,0,0,0
2575 W 5TH ST,East Carolina Rehab and Wellness,SNF,NULL,NULL,62,345377,Established,"EAST CAROLINA REHAB AND WELLNESS, LLC",Greenville,North Carolina,27834,55,0,0,0,0,1,0
2578 W 5TH ST,Greenville Health and Rehab,SNFMD,120,114,137,345181,Established,MFA,Greenville,North Carolina,27834,61,0,0,0,0,35,0
260 CENTERWAY DR,Mountain View Assisted Living,AL,NULL,NULL,16,NULL,Established,"MOUNTAIN VIEW ASSISTED LIVING, INC",Hendersonville,North Carolina,28792,13,0,0,0,0,2,16
260 S MAYO TRL,Pikeville Nursing and Rehab,SNF,NULL,NULL,60,185094,Established,TOPAZ HEALTHCARE,PIKEVILLE,Kentucky,41501,53,0,0,0,0,0,0
260 VILLAGE LAKE RD,Dunmore Senior Living of Siler City,AL/MC,NULL,NULL,14,NULL,Established,Buddy Elmore,Siler City,North Carolina,27344,13,0,0,0,0,0,0
2600 CROASDAILE FARM PARKWA,Croasdaile Village,SNF,NULL,NULL,31,345501,Established,UNITED METHODIST RETIREMENT HOMES INC,Durham,North Carolina,27705,26,0,0,0,0,0,0
2600 CROASDAILE FARM PARKWAY,Croasdaile Friendship House,AL,NULL,NULL,0,345501,Established,UNITED METHODIST RETIREMENT HOMES INC,Durham,North Carolina,27705,0,0,0,0,0,0,0
2600 CROASDAILE FARM PARKWAY,Croasdaile Clinic,AL/Clinic,NULL,NULL,0,345501,Established,UNITED METHODIST RETIREMENT HOMES INC,Durham,North Carolina,27705,0,0,0,0,0,0,0
2600 MOREHOUSE AVE,Elkhart Meadows,SNF,NULL,NULL,42,155352,Established,AMERICAN SENIOR COMMUNITIES,ELKHART,Indiana,46517,39,0,0,0,0,0,0
2600 N GRAND AVE,Hickory Creek of Connersville,SNFMD,36,29,36,155434,Established,American Senior Communities,Connersville,Indiana,47331,32,0,0,0,0,7,0
2601 COVINGTON COMMONS DR,Covington Commons,AL,126,90,75,NULL,Established,Five Star Residences,Fort Wayne,Indiana,46804,71,6,0,0,0,2,0
2605 SWALLOW RD,The Landings of Rockingham,AL,NULL,NULL,25,NULL,Established,ALG,Reidsville,North Carolina,27320,22,0,0,0,0,6,0
2607 MAIN ST,Lake Way Nursing and Rehab,SNF,NULL,NULL,41,185258,Established,VENZA,BENTON,Kentucky,42025,40,0,0,0,0,0,0
263 MCKENZIE RIDGE DR,Kingswood Reserve,AL/MC/IL,66,17,60,NULL,Established,ALG,Clayton,North Carolina,27520,51,2,0,0,0,7,46
2630 S KEYSTONE AVE,Fairway Village,SNF,NULL,NULL,47,155741,Established,AMERICAN SENIOR COMMUNITIES,Indianapolis,Indiana,46203,34,0,0,0,0,1,0
2680 S MEBANE ST,Cedar Ridge IN,IL,120,120,13,NULL,Established,Atria Senior Living,Burlington,North Carolina,27215,11,13,0,0,0,0,0
270 COMMONS PARKWAY,CARRINGTON COTTAGES,AL,NULL,NULL,23,NULL,Established,Hill Valley,DALEVILLE,Virginia,24083,8,0,0,0,0,0,0
2701 MAGNOLIA SPRINGS DR,Magnolia Springs Lexington,AL,NULL,NULL,52,NULL,Established,MAGNOLIA SPRINGS HEALTH SYSTEM,Lexington,Kentucky,40511,47,0,0,0,0,1,0
2702 FARRELL ROA,Sanford Health & Rehabilitation Co,SNF,NULL,NULL,52,345534,Established,SANSTONE,Sanford,North Carolina,27330,51,0,0,0,0,0,0
2715 S ISLAND RD,Elderwood Rehabilitation and Nursing Center,SNF,84,76,70,NULL,Established,Brothers Healthcare / CJM Advisors,Georgetown,South Carolina,29440,69,0,0,0,0,0,0
275 KIENLE DR,Piqua Care Center,SNFMD,85,77,87,365607,Established,LIONSTONE CARE,Piqua,Ohio,45356,81,0,0,0,0,19,0
275 S PEACE HAVEN RD,Brookdale Winston Salem,MC,NULL,NULL,34,NULL,Established,BROOKDALE SENIOR LIVING,Winston-Salem,North Carolina,27104,33,0,0,0,0,3,0
2766 GRAND OAKS BLVD,Alamance House AL,AL,NULL,NULL,37,NULL,Established,ALG,Burlington,North Carolina,27215,37,0,0,0,0,1,0
2766 GRAND OAKS BLVD,Alamance House MC,MC,NULL,0,40,NULL,Established,ALG,Burlington,North Carolina,27215,33,0,0,0,0,2,0
27669 NC HWY 125,Scotland House,AL,NULL,NULL,53,NULL,Established,ALG,Scotland Neck,North Carolina,27874,51,0,0,0,0,11,0
2770 PALUMBO DR,Lexington Premier Nursing and Rehab,SNF,NULL,NULL,62,185463,Established,EMERALD HEALTHCARE,Lexington,Kentucky,40509,56,0,0,0,0,0,0
2770 S ADAMS RD,Cedar Creek Assisted Living,AL,66,32,6,NULL,Established,CEDARHURST SENOR LIVING,BLOOMINGTON,Indiana,47403,5,0,0,0,0,2,0
2773 PINEWOOD HOME DR,Lenoir Assisted Living,AL/MC,NULL,NULL,27,NULL,Established,LUTHERAN SENIOR SERVICES,Pink Hill,North Carolina,28572,19,0,0,0,0,7,0
2779 HWY 15 N,Bishopville Manor,AL,44,38,34,NULL,Established,Care Management Group,Bishopville,South Carolina,29010,34,0,0,0,0,1,0
2780 X RAY DR,Peak Resources Gastonia,SNFMD,NULL,NULL,98,345494,Established,PEAK RESOURCES,Gastonia,North Carolina,28054,86,0,0,0,0,37,81
2800 KIDD RD,Wake Assisted Living,AL,60,48,43,NULL,Established,INDEPENDENT,Raleigh,North Carolina,27610,40,0,0,0,0,3,41
2801 CARMEL RD,Carmel Hills,AL,NULL,NULL,23,NULL,Established,BOB BOWERSOX,Charlotte,North Carolina,28226,19,0,0,0,0,3,16
2806 PEACHTREE RD,Brookdale Peachtree AL,AL,87,50,43,NULL,Established,Brookdale Senior Living,Statesville,North Carolina,28625,39,0,0,0,0,12,0
2809 OLD CONCORD RD,Alpha Concord Plantation,AL,NULL,NULL,23,NULL,Established,INDEPENDENT,Salisbury,North Carolina,28146,22,0,0,0,0,4,0
281 S COUNTY RD 200 E,Heritage House of Connersville,SNF,NULL,NULL,88,155332,Established,AMERICAN SENIOR COMMUNITIES,CONNERSVILLE,Indiana,47331,82,0,0,0,0,17,0
2814 PEACHTREE RD,Brookdale Peachtree MC,MC,40,32,22,NULL,Established,Brookdale Senior Living,Statesville,North Carolina,28625,21,0,0,0,0,3,0
282 BEN BOLT AVE,933 Heritage Hall Tazewell,SNF,NULL,NULL,101,495152,Established,AMERICAN HEALTHCARE LLC,TAZEWELL,Virginia,24651,13,0,0,0,0,0,0
282 JOHNSTON ST,Green Oaks of Goshen,AL,120,75,85,NULL,Established,Gardant,Goshen,Indiana,46528,78,0,0,0,0,3,0
2820 RICHARD ST,Christian County Manor,AL,65,54,39,NULL,Established,ELDERCARE PARTNERS,hopkinsville,Kentucky,42240,38,0,0,0,0,4,0
2860 CHURCHMAN AVE,Brickyard Healthcare - Churchman Care Center,SNF,NULL,NULL,70,155138,Established,Brickyard,Indianapolis,Indiana,46203,62,0,0,0,0,0,0
287 BAMBOO RD,Deerfield Ridge Assisted Living,AL,96,52,41,NULL,Established,Navion,Boone,North Carolina,28607,37,0,0,0,0,11,1
2879 S LIMA RD,Chandler Place,AL,NULL,NULL,18,NULL,Established,LAKEHOUSE SENIOR LIVING,KENDALLVILLE,Indiana,46755,17,0,0,0,0,0,0
"2885 NEW HARTFORD RD, OWENSBORO, KY 42303",Wellington Parc of Owensboro,SNF,44,40,71,185436,Established,Majestic Care,Owensboro,Kentucky,42303,67,0,0,0,0,0,0
290 CLEAR CREEL RD,The Laurels of Hendersonville,SNF,NULL,NULL,26,345322,Established,LAUREL HEALTH CARE COMPANY,Hendersonville,North Carolina,28792,1,0,0,0,0,0,23
290 COMMONS PARKWAY,Daleville Health & Rehabilitation - SNF,SNF,NULL,NULL,68,495386,Established,Hill Valley,DALEVILLE,Virginia,24083,33,0,0,0,0,0,0
2901 W 37TH AVE,The Waters of Hobart,SNF,NULL,NULL,55,155251,Established,INFINITY HEALTHCARE CONSULTING,HOBART,Indiana,46342,50,0,0,0,0,10,0
2908 COUNTRY HOME RD,Country Home,AL,NULL,NULL,42,NULL,Established,COUNTRY HOME HEALTHCARE LLC,Concord,North Carolina,28025,21,0,0,0,0,0,40
2910 L'ERMITAGE PL,Arbors at Stow,SNFMD,NULL,NULL,130,365720,Established,ARBORS,Stow,Ohio,44224,125,0,0,0,0,14,0
2910 PINE PLANTATION PARKWAY,The Landings of Oak Island,AL/MC,NULL,NULL,61,NULL,Established,ALG,Oak Island,North Carolina,28461,59,0,0,0,0,12,0
2925 ZOO PKWY,TerraBella Asheboro,AL/MC,NULL,NULL,20,NULL,Established,TERRABELLA SENIOR LIVING,Asheboro,North Carolina,27205,16,0,0,0,0,0,0
2931 VANCE ST,Brookdale Reidsville,AL,NULL,NULL,30,NULL,Established,Brookdale Senior Living,Reidsville,North Carolina,27320,26,0,0,0,0,6,0
2932 S 5TH ST,Sanctuary at Ohio Valley,SNF,NULL,93,NULL,4/2/2024 5:47,Established,,,,Ohio,0,0,0,0,0,0,0
2940 N CLINTON ST,Summit City,SNF,93,54,45,155159,Established,American Senior Communities,Fort Wayne,Indiana,46805,38,0,0,0,0,0,0
295 VILLAGE LN,Greenwood Village South - Manor (AL),AL,NULL,NULL,28,155026,Established,INDEPENDENT,GREENWOOD,Indiana,46143,22,0,0,0,0,2,0
295 VILLAGE LN,Greenwood Village South IL,IL,NULL,NULL,2,155026,Discontinued,INDEPENDENT,GREENWOOD,Indiana,46143,2,2,0,0,0,0,0
295 VILLAGE LN,Greenwood Village South - Pavilion,SNF,NULL,NULL,127,155026,Established,INDEPENDENT,GREENWOOD,Indiana,46143,91,0,0,0,0,28,0
295 WESTFIELD RD,Riverwalk Village,SNFMD,169,127,136,155106,Established,AMERICAN SENIOR COMMUNITIES,Noblesville,Indiana,46060,114,0,0,0,0,28,0
2950 TURKEYFOOT RD,The Summit of Edgewood,AL,107,76,49,NULL,Established,Triple Crown Senior Living,Edgewood,Kentucky,41017,40,0,0,0,0,4,0
2966 SLATE CREEK RD,814 Heritage Hall Grundy,SNFMD,NULL,NULL,118,495259,Established,AMERICAN HEALTHCARE LLC,GRUNDY,Virginia,24614,114,0,0,0,0,34,0
2968 OLD SALISBURY RD,Brookstone Retirement Center,AL,115,80,64,NULL,Established,Amity Healthcare Group,Lexington,North Carolina,27295,62,0,0,0,0,0,0
2980 REYNOLDA RD,Brookdale Reynolda,AL,NULL,NULL,37,NULL,Established,BROOKDALE SENIOR LIVING,Winston- Salem,North Carolina,27106,36,0,0,0,0,6,1
2981 OPTIMIST CLUB RD,Lakewood Care Center,AL,NULL,NULL,57,NULL,Established,LAKEWOOD CARE CENTER,Denver,North Carolina,28037,39,0,0,0,0,5,35
30 DALEA DR,Wilham Ridge Assisted Living,AL,54,35,12,NULL,Established,INDEPENDENT,Asheville,North Carolina,28805,8,0,0,0,0,1,11
30 MONICA BLVD,RUNK & PRATT LIBERTY RIDGE-ALF,AL,NULL,NULL,29,NULL,Established,Runk & Pratt,LYNCHBURG,Virginia,24502,13,0,0,0,0,0,0
30 MONICA BLVD,RUNK & PRATT LIBERTY RIDGE-IL,IL,NULL,NULL,2,NULL,Established,Runk & Pratt,LYNCHBURG,Virginia,24502,1,0,0,0,0,0,0
300 BLUE RIDGE ST,Mulberry Creek Nursing & Rehab Center,SNFMD,NULL,NULL,205,495426,Established,Kissito Healthcare,MARTINSVILLE,Virginia,24112,198,0,0,0,0,67,0
300 E PRAIRIE ST,The New Warsaw,SNF,NULL,NULL,56,155566,Established,PRIORITY,WARSAW,Indiana,46580,44,0,0,0,0,4,0
300 FAIRGROUNDS RD,The Waters of Tipton,SNF,150,90,94,155556,Established,INFINITY HEALTHCARE CONSULTING,Tipton,Indiana,46072,75,0,0,0,0,22,0
300 HATCHER ST,Rocky Mount Health & Rehab Center LLC - SNF,SNFMD,NULL,NULL,132,495118,Established,SABER HEALTHCARE GROUP,ROCKY MOUNT,Virginia,24151,123,0,0,0,0,38,0
300 KILDAIRE WOODS DR,Woodland Terrace AL,AL,37,37,31,NULL,Established,Kisco Senior Living,Cary,North Carolina,27511,28,0,0,0,0,2,28
300 KILDAIRE WOODS DR,Woodland Terrace IN,IL,104,103,29,NULL,Established,Kisco Senior Living,Cary,North Carolina,27511,27,29,0,0,0,0,0
300 KILDAIRE WOODS DR,Woodland Terrace MC,MC,43,42,34,NULL,Established,Kisco Senior Living,Cary,North Carolina,27511,32,0,0,0,0,1,21
300 MEADOWLAND DRIV,Peak Resources Brookshire SNF,SNF,NULL,NULL,55,345439,Established,PEAK RESOURCES,Hillsborough,North Carolina,27278,51,0,0,0,0,0,0
300 MEADOWLAND DRIV,Peak Resources Brookshire ALF,SNF,NULL,NULL,9,345439,Established,PEAK RESOURCES,Hillsborough,North Carolina,27278,8,0,0,0,0,0,0
300 MORRIS RD,The Oaks - Brevard,SNF,NULL,NULL,46,345462,Established,PRUITT HEALTH,Brevard,North Carolina,28712,44,0,0,0,0,0,0
300 N WASHINGTON ST,The Waters of Wakarusa AL,AL,35,25,30,NULL,Established,INFINITY HEALTHCARE CONSULTING,Wakarusa,Indiana,46573,30,0,0,0,0,0,0
300 N WASHINGTON ST,The Waters of Wakarusa SNF,SNF,133,92,79,155582,Established,INFINITY HEALTHCARE CONSULTING,WAKARUSA,Indiana,46573,77,0,0,0,0,13,0
300 OVERLOOK DR,Piketon Nursing Center,SNFMD,NULL,NULL,39,365961,Established,Pavilion Healthcare,Piketon,Ohio,45661,19,0,0,0,0,14,0
3000 CENTRAL AVE,Genesis HCR of Ashland ONE,Personal Care Home,20,16,17,NULL,Established,GENESIS HEALTH OF ASHLAND LLC,Ashland,Kentucky,41101,16,1,0,0,0,0,0
3001 MIDDLE URBANA RD,Springfield Clark ALF - Northwood,AL,NULL,NULL,53,NULL,Established,ASPIRE,Springfield,Ohio,45502,48,0,0,0,0,22,0
3003 WATERSCAPE WAY,The Viridian,AL,NULL,NULL,26,NULL,Established,ALG,NEW BERN,North Carolina,28562,26,0,0,0,0,15,0
301 CRAIG ST,Woodlawn Haven,AL,NULL,NULL,68,NULL,Established,Independent,Mt. Holly,North Carolina,28120,55,0,0,0,0,11,0
301 S MAIN ST,Cumberland Valley Nursing & Rehabilitation,SNF,93,87,58,185270,Established,Bluegrass/Encore,Burkesville,Kentucky,42717,44,0,0,0,0,0,0
3017 VALLEY FARMS RD,Eagle Valley Meadows,SNF,114,75,19,155291,Established,AMERICAN SENIOR COMMUNITIES,Indianapolis,Indiana,46214,0,0,0,0,0,0,0
302 N 2ND ST,"Bridgewater Home, Inc. - MC",AL,NULL,NULL,31,NULL,Established,INDEPENDENT,BRIDGEWATER,Virginia,22812,27,0,0,0,0,3,0
302 N 2ND ST,"Bridgewater Home, Inc. - ALF",AL,NULL,NULL,71,NULL,Established,INDEPENDENT,BRIDGEWATER,Virginia,22812,61,0,0,0,0,3,0
302 N 2ND ST,"Bridgewater Home, Inc. - SNF",SNFMD,NULL,NULL,120,495370,Established,INDEPENDENT,BRIDGEWATER,Virginia,22812,104,0,0,0,0,1,0
3020 MARKET ST,Carteret house,AL,NULL,NULL,9,NULL,Established,ALG,Newport,North Carolina,28570,7,0,0,0,0,0,0
3021 STELLA ST,Bickford of Greenwood,AL/MC,51,36,16,NULL,Established,Bickford,Greenwood,Indiana,46143,16,0,0,0,0,0,0
3037 W DIVISION RD,1019 Belle's of Wabash,AL,NULL,NULL,15,NULL,Established,EBY FAMILY,WABASH,Indiana,46992,15,0,0,0,0,1,0
3043 N LINTEL DR,Hearthstone Health ALF,AL,NULL,NULL,54,NULL,Established,TRILOGY,BLOOMINGTON,Indiana,47403,54,0,0,0,0,2,0
3043 N LINTEL DR,Hearthstone Health SNF,SNFMD,NULL,NULL,58,155818,Established,TRILOGY,BLOOMINGTON,Indiana,47403,56,0,0,0,0,9,0
3045 HENDERSON DR,Kempton of Jacksonville,AL/MC,NULL,NULL,23,NULL,Established,INDEPENDENT,JACKSONVILLE,North Carolina,28546,15,0,0,0,0,0,0
305 TAYLOR ST,River Valley Nursing Home,SNF,NULL,NULL,59,185355,Established,LUXOR HEALTHCARE GROUP,Butler,Kentucky,41006,51,0,0,0,0,0,0
306 DEER PARK RD,Deer Park Health & Rehabilitation,SNF,140,107,98,345233,Established,Brighton,Nebo,North Carolina,28761,93,0,0,0,0,0,0
308 OVERLOOK RD,Brookdale Asheville Overlook,AL,NULL,NULL,25,NULL,Established,BROOKDALE SENIOR LIVING,Asheville,North Carolina,28803,23,0,0,0,0,4,21
308 W MAPLE AVE,Maplewood Health & Rehabilitation,SNF,NULL,NULL,77,185065,Established,INFINITY HEALTHCARE CONSULTING,Lancaster,Kentucky,40444,46,0,0,0,0,0,0
31 DERICKSON LN,Stanton Nursing and Rehabilitation Center,SNF,NULL,NULL,42,185352,Established,TOPAZ HEALTHCARE,Stanton,Kentucky,40380,25,0,0,0,0,0,0
31 WOODLEE RD,AVIVA BALDWIN PARK-ALF,AL,NULL,NULL,21,NULL,Established,Aviva Senior Living,STAUNTON,Virginia,24401,21,0,0,0,0,0,0
310 BOXWOOD RUN RD,Green Meadows Health and Rehabilitation,SNF,122,100,124,NULL,Established,Lyon Healthcare,Mount Washington,Kentucky,40047,58,0,0,0,0,0,0
310 COMMERCE DR,Liberty Commons Nsg and Rehab of Lee County,SNF,NULL,NULL,57,345532,Established,Liberty,Sanford,North Carolina,27332,41,0,0,0,0,0,0
310 PENSACOLA RD,Smoky Ridge Health & Rehabilitation,SNF,140,92,101,345305,Established,Brighton,Burnsville,North Carolina,28714,89,0,0,0,0,0,0
3100 ERWIN RD,PruittHealth - Durham,SNF,NULL,NULL,36,345061,Established,PRUITT HEALTH,Durham,North Carolina,27705,28,0,0,0,0,1,0
3100 SHAWNEE DR,Stonebridge SNF,AL/SNF MD,68,50,57,155727,Established,Trilogy,BEDFORD,Indiana,47421,56,0,0,0,0,16,0
3100 SHAWNEE DR,Stonebridge ALF,AL/SNF MD,68,50,31,155727,Established,Trilogy,BEDFORD,Indiana,47421,29,0,0,0,0,9,0
3101 DURALEIGH RD,Brighton Gardens Raleigh,AL/MC,NULL,NULL,17,NULL,Established,Sunrise Senior Living,Raleigh,North Carolina,27612,15,0,0,0,0,4,0
31054 STATE ROUTE 93,Maple Hill Care Center,SNFMD,NULL,NULL,38,366139,Established,LIONSTONE CARE,Mc Arthur,Ohio,45651,36,0,0,0,0,4,0
3118 GREEN VALLEY RD,Green Valley,SNF,141,100,70,155070,Established,Lifecare,NEW ALBANY,Indiana,47150,46,0,0,0,0,0,0
312 HARRISON AVE,Integrity - Pinebrook LLC,AL,NULL,NULL,57,NULL,Established,INTEGRITY SENIOR LIVING,Yadkinville,North Carolina,27055,39,0,0,0,0,12,0
312 WARREN AVE,Harmony Hall Nursing and Rehab,SNF,NULL,NULL,44,345156,Established,HARMONY SENOR SERVICES,Kinston,North Carolina,28501,33,0,0,0,0,0,0
3121 GLANZMAN RD,Concord Care Center of Toledo,SNF,84,78,83,365030,Established,AOM HEALTHCARE SOLUTIONS,Toledo,Ohio,43614,81,0,0,0,0,0,0
314 W KINGS HIGHWAY,Brookdale Eden,AL,NULL,NULL,33,NULL,Established,Brookdale Senior Living,Eden,North Carolina,27288,30,0,0,0,0,6,0
315 PARK RIDGE RD,Spring Arbor Albemarle,AL,NULL,NULL,45,NULL,Established,SPRING ARBOR MANAGEMENT,Albemarle,North Carolina,28001,39,0,0,0,0,12,38
3150 BURKE MILL RD,The Southwood,AL,50,39,52,NULL,Established,ALG,Winston-Salem,North Carolina,27103,37,0,0,0,0,12,0
3150 N 7TH ST,Majestic Terre Haute,SNF,104,70,26,155143,Established,Majestic Care,Terre Haute,Indiana,47804,26,0,0,0,0,0,0
316 LOWER BRUSH CREEK RD,Becky's Rest Home,AL,30,20,18,NULL,Established,INDEPENDENT,Fletcher,North Carolina,28732,13,0,0,0,0,3,18
317 ODDVILLE AVE B,Parkside Manor,AL,NULL,NULL,46,NULL,Established,ELDERCARE PARTNERS,Cynthiana,Kentucky,41031,45,0,0,0,0,1,0
318 E MAIN ST,Maple Grove,SNFMD,NULL,NULL,54,495365,Established,Kissito Healthcare,LEBANON,Virginia,24266,42,0,0,0,0,5,0
31869 CHICAGO TRL,Hamilton Grove ALF,AL,133,30,25,155672,Established,STORYPOINT,New Carlisle,Indiana,46552,23,0,0,0,0,4,0
31869 CHICAGO TRL,Hamilton Grove SNF,SNFMD,85,59,48,155672,Established,Woodlawn Hospital,New Carlisle,Indiana,46552,39,0,0,0,0,3,0
3197 SOUTHWEST BLVD,Ashford of Grove City,AL,NULL,NULL,26,NULL,Established,WALLICK SENIOR LIVING,Grove City,Ohio,43123,25,0,0,0,0,0,0
3199 SWEETEN CREEK RD,Arbor Terrace of Asheville AL,AL,NULL,NULL,58,NULL,Established,INDEPENDENT,Asheville,North Carolina,28803,58,0,0,0,0,4,34
3199 SWEETEN CREEK RD,Arbor Terrace of Asheville MC,MC,70,17,3,NULL,Established,Arbor Company,Asheville,North Carolina,28803,2,0,0,0,0,0,3
320 BROUGHTON ST,Hampton Manor,AL,NULL,NULL,76,NULL,Established,ALG,Gaston,North Carolina,27832,72,0,0,0,0,19,0
3203 E MOORES PIKE,Cedar Creek Memory Care,MC,66,38,28,NULL,Established,CEDARHURST SENOR LIVING,BLOOMINGTON,Indiana,47401,22,0,0,0,0,2,0
3210 WESTERN BLVD,The Bridges of Hendricks Creek,AL,71,54,53,NULL,Established,ALG,Tarboro,North Carolina,27886,51,0,0,0,0,6,0
322 NUWAY CIR,Lenoir Healthcare,SNF,NULL,NULL,82,345138,Established,MFA,Lenoir,North Carolina,28645,76,0,0,0,0,1,0
3223 CENTRAL AVE,Peak Resources Charlotte,SNF,NULL,NULL,129,345013,Established,PEAK RESOURCES,Charlotte,North Carolina,28205,112,0,0,0,0,0,116
"323 WEBSTER AVE, CYNTHIANA, KY 41031",Edgemont Healthcare,SNF,68,68,66,185389,Established,Edgemont,Cynthiana,Kentucky,41031,66,0,0,0,0,0,0
324 KING GEORGE AVE SW,Old Southwest Health and Rehabilitation,SNF,NULL,NULL,45,495156,Established,Eastern Healthcare Group,ROANOKE,Virginia,24016,30,0,0,0,0,0,0
326 COUNTRY CLUB DR,Lincoln Hills Health Center of New Albany,SNF,NULL,NULL,65,155614,Established,CARDON & ASSOCIATES,NEW ALBANY,Indiana,47150,54,0,0,0,0,0,0
327 FREEMAN ST,Montgomery Senior Living,AL,NULL,NULL,42,NULL,Established,VICTORIAN SENIOR CARE,Star,North Carolina,27356,40,0,0,0,0,2,0
329 COOPER ST,Wellington Park,AL,NULL,NULL,16,NULL,Established,INDEPENDENT,Kenansville,North Carolina,28349,16,0,0,0,0,5,0
330 JUNIPER ST,The Berkeley,AL/MC,63,57,22,NULL,Established,ALG,Morganton,North Carolina,28655,22,0,0,0,0,0,0
"3300 POPLAR ST, TERRE HAUTE, IN 47803",Majestic Care of Deming Park,SNF,86,80,46,155358,Established,Majetic Care,Terre Haute,Indiana,47803,46,0,0,0,0,0,0
3304 MONROE ST,Trustwell Living at Settlers Place,AL/Clinic,47,42,23,NULL,Established,BHI SENIOR LIVING,LAPORTE,Indiana,46350,23,0,0,0,0,2,0
3304 RHODES AVE,Heritage Point Assisted Living,AL,11,6,29,NULL,Established,HERITAGE SENIOR LIVING,New Boston,Ohio,45662,28,0,0,0,0,4,0
3315 FAITH CHURCH RD,Lake Park Nursing and Rehabilitation Center,SNF,NULL,NULL,69,345502,Established,PRINCIPLE,Indian Trail,North Carolina,28079,59,0,0,0,0,0,57
3322 VILLAGE RD,The Lodge at Rocky Mount Health & Rehab,SNF,NULL,NULL,99,345137,Established,SANSTONE,Rocky Mount,North Carolina,27804,91,0,0,0,0,6,0
333 E LEE ST,Willowbrook Rehabilitation and Care Center,SNF,NULL,NULL,48,345466,Established,Avardis,Yadkinville,North Carolina,27055,41,0,0,0,0,1,0
336 S RHODES AVE,Windsor House,AL,NULL,NULL,43,NULL,Established,ALG,Windsor,North Carolina,27983,40,0,0,0,0,4,0
3362 BUCKLAND SQ,Morning Pointe Owensboro,AL,0,23,20,NULL,Established,MORNING POINTE SENIOR LIVING,Owensboro,Kentucky,42301,17,0,0,0,0,0,0
3363 RAGGED RIDGE RD,Embassy of Valley View,SNFMD,NULL,NULL,42,366075,Established,EMBASSY HEALTHCARE,Frankfort,Ohio,45628,41,0,0,0,0,7,0
3365 OGDEN RD,"Woodland Hills Independent Living, AL & MC",AL/MC/IL,130,80,30,NULL,Established,RUI,Roanoke,Virginia,24018,22,0,0,0,0,0,0
337 HOSPITAL STREE,Mocksville Senior Living and Memory Care,AL,NULL,NULL,34,NULL,Established,ALG,Mocksville,North Carolina,27028,32,0,0,0,0,5,0
