excel_row,facility,corporate_name,address,city,state,source_type,ownership_type,do_we_serve,beds,census,pattern_tags
20030,ST MARY'S CENTER AND VILLAS,701 LANSDALE REALTY LLC,701 Lansdale Ave,Lansdale,PA,SNF,Independent,No,204,163,"REALTY, ADDRESS_BASED, LLC"
20045,ST. STEPHEN'S LIVING CENTER,ST STEPHENS CENTER LLC,1075 Chestnut Street,Nanty Glo,PA,ALF,Independent,No,44,35,SHORT_LLC
20046,STABON MANOR PERSONAL CARE HOME,541C LLC,1555 Haak St,Reading,PA,ALF,Independent,No,77,62,SHORT_LLC
20051,STERLING HEIGHTS GRACIOUS RETIREMENT LIVING,BETHLEHEM RETIREMENT RESIDENCE LLC,3500 Fairview St,Bethlehem,PA,ALF,Independent,No,133,106,SHORT_LLC
20052,STERLING HOME,DMJ ESTATES LLC,1318 Arch Street,Mckeesport,PA,ALF,Independent,No,42,34,SHORT_LLC
20053,STERLING MEADOWS ASSISTED LIVING,INNOVIV KY1 LLC,209 North Maysville St.,Mt. Sterling,KY,ALF,Independent,No,15,12,SHORT_LLC
20057,STONE BROOK MANOR,AJNH HOLDINGS III LLC,507 Rowe Road,Harrison City,PA,ALF,Independent,No,37,30,"HOLDINGS, LLC"
20059,STONE CREEK MEMORY CARE,SH1 HICKORY HILLS LLC,162 Indian Lake Blvd,Hendersonvlle,TN,ALF,Independent,No,46,37,SHORT_LLC
20061,STONEBROOK VILLAGE,VILLAGE LAND COMPANY LLC,818 Village Dr,Pittsburgh,PA,ALF,Independent,No,289,231,SHORT_LLC
20067,STORYPOINT CHESTERTON,WELLS LANDLORD 2 LLC,700 Dickinson Road,Chesterton,IN,ALF,Independent,No,162,130,SHORT_LLC
20068,STORYPOINT CINCINNATI (NEW ENGLAND CLUB),CHURCHILL NEC OWNER LLC,8135 Beechmont Ave,Cincinnati,OH,ALF,Independent,No,252,202,SHORT_LLC
20069,STORYPOINT COLLIERVILLE,COLLIERVILLE CARE LLC,691 S Byhalia Road,Collierville,TN,ALF,Independent,No,164,131,SHORT_LLC
20070,STORYPOINT FAIRFIELD,WELL LANDLORD 2 LLC,7129 Gilmore Road,Fairfield Township,OH,ALF,Corporate,No,204,163,SHORT_LLC
20071,STORYPOINT FORT WAYNE,SENIOR FORT WAYNE LLC,3715 Union Chapel Rd,Fort Wayne,IN,ALF,Independent,No,283,226,SHORT_LLC
20072,STORYPOINT FORT WAYNE WEST,HCRI INDIANA PROPERTIES LLC,611 W County Line Rd South,Fort Wayne,IN,ALF,Corporate,No,226,181,"PROPERTIES, LLC"
20074,STORYPOINT GERMANTOWN,CD-HRA GERMANTOWN LLC,6300 Briarcrest Ave,Memphis,TN,ALF,Corporate,No,160,128,SHORT_LLC
20076,STORYPOINT LOUISVILLE EAST (OXMOOR LODGE),8021 CHRISTIAN COURT OWNER LLC,8021 Christian Ct,Louisville,KY,ALF,Independent,No,120,96,"ADDRESS_BASED, LLC"
20077,STORYPOINT LOUISVILLE SOUTH (PONDER CREEK ESTATES),620 VLY CLG DRIVE OWNER LLC,620 Valley College Dr,Louisville,KY,ALF,Independent,No,121,97,"ADDRESS_BASED, LLC"
20078,STORYPOINT MEDINA,MEDINA CARE LLC,122 Medina Road,Medina,OH,ALF,Independent,No,166,133,SHORT_LLC
20079,STORYPOINT MIDDLETOWN,MIDDLETOWN CARE 2017 LLC,500 Meridian Hills Drive,Middletown,KY,ALF,Independent,No,162,130,SHORT_LLC
20080,STORYPOINT OF CORDAVA,CD-HRA CORDOVA LLC,1600 Appling Road,Cordova,TN,ALF,Independent,No,149,119,SHORT_LLC
20081,STORYPOINT OF GERMANTOWN,CD-HRA GERMANTOWN LLC,6300 Briarcrest Ave,Memphis,TN,ALF,Corporate,No,141,113,SHORT_LLC
20085,STORYPOINT SCHERERVILLE,EPC CLARENDALE LLC,7770 Burr St,Schererville,IN,ALF,Independent,No,180,144,SHORT_LLC
20086,STORYPOINT STRONGSVILLE (PEARL CROSSING),1205 PEARL ROAD OWNER LLC,19201 Pearl Rd,Strongsville,OH,ALF,Corporate,No,117,94,"ADDRESS_BASED, LLC"
20087,STORYPOINT STRONGSVILLE (PEARL CROSSING),1205 PEARL ROAD OWNER LLC,19205 Pearl Road,Strongsville,OH,ALF,Corporate,No,101,81,"ADDRESS_BASED, LLC"
20089,STORYPOINT WATERVILLE,WELL LANDLORD 2 LLC,1470 Pray Blvd,Waterville,OH,ALF,Corporate,No,168,134,SHORT_LLC
