cluster_num,address,city,state,excel_row,facility_name,corp,type,beds,census,served,integ,pcp,mh,barrier,source,campus_id,has_served
50,3504 Flint St,Greensboro,NC,8622,ABBOTSWOOD AT IRVING PARK IN,KISCO SENIOR LIVING,ALF,26,21.0,Yes,No,No,Yes,,GLR,,Yes
50,3504 Flint St,Greensboro,NC,17007,ABBOTSWOOD AT IRVING PARK,KISCO SENIOR LIVING,ALF,239,191.0,No,No,No,No,,GLR,,Yes
51,3506 Flint St,Greensboro,NC,9718,VERRA SPRINGS AT ABBOTSWOOD,KISCO SENIOR LIVING,ALF,9,7.0,Yes,Yes,No,No,,GLR,,Yes
51,3506 Flint St,Greensboro,NC,8621,ABBOTSWOOD AT IRVING PARK ASSISTED LIVING,KISCO SENIOR LIVING,ALF,28,22.0,No,No,No,No,,GLR,,Yes
52,3508 Flint St,Greensboro,NC,8945,ELMS AT ABBOTSWOOD,KISCO SENIOR LIVING,ALF,30,24.0,Yes,Yes,No,No,,GLR,,Yes
52,3508 Flint St,Greensboro,NC,9633,THE ELMS AT ABBOTSWOOD,KISCO SENIOR LIVING,ALF,48,38.0,No,No,No,No,,GLR,,Yes
52,3508 Flint St,Greensboro,NC,19608,THE ELMS AT ABBOTSWOOD,KISCO SENIOR LIVING,ALF,48,38.0,No,No,No,No,,GLR,,Yes
53,3619 S. Mebane St,Burlington,NC,8712,BROOKDALE BURLINGTON MC,BROOKDALE SENIOR LIVING,ALF,37,33.0,Yes,Yes,No,No,,GLR,,Yes
53,3619 S. Mebane St,Burlington,NC,8710,BROOKDALE BURLINGTON AL,BROOKDALE SENIOR LIVING,ALF,34,40.0,Yes,Yes,No,No,,GLR,,Yes
54,3750 Harper Rd,Clemmons,NC,9686,TRINITY ELMS ALF,LUTHERAN SERVICES CAROLINAS,ALF,34,27.0,Yes,No,No,Yes,,GLR,,Yes
54,3750 Harper Rd,Clemmons,NC,9685,TRINITY ELMS,LUTHERAN SERVICES CAROLINAS,ALF,104,83.0,No,No,No,No,,GLR,,Yes
55,3896 N Elm St,Greensboro,NC,8763,BROOKSTONE TERRACE OF GREENSBORO AL,TerraBella Senior Living,ALF,27,22.0,Yes,Yes,No,No,,GLR,,Yes
55,3896 N Elm St,Greensboro,NC,8764,BROOKSTONE TERRACE OF GREENSBORO MC,TerraBella Senior Living,ALF,17,14.0,Yes,Yes,No,No,,GLR,,Yes
56,390 Hardin Rd,Forest City,NC,9486,SOUTHERN MANOR,INDEPENDENT,ALF,20,16.0,Yes,Yes,No,No,,GLR,,Yes
56,390 Hardin Rd,Forest City,NC,9487,SOUTHERN MANOR REST HOME,,ALF,25,20.0,No,No,No,No,,GLR,,Yes
57,4030 Cardinal At N Hills St,Raleigh,NC,9623,THE CARDINAL AT NORTH HILLS MC,KISCO SENIOR LIVING,ALF,11,9.0,Yes,Yes,No,No,,GLR,,Yes
57,4030 Cardinal At N Hills St,Raleigh,NC,9621,THE CARDINAL AT NORTH HILLS AL,KISCO SENIOR LIVING,ALF,27,22.0,Yes,Yes,No,No,,GLR,,Yes
57,4030 Cardinal At N Hills St,Raleigh,NC,9622,THE CARDINAL AT NORTH HILLS IN,KISCO SENIOR LIVING,ILF,41,33.0,Yes,Yes,No,No,,GLR,,Yes
58,405 Smith Level Rd,Chapel Hill,NC,9520,STRATFORD AL/MC,ALG Senior,ALF,58,46.0,Yes,Yes,No,No,,GLR,,Yes
58,405 Smith Level Rd,Chapel Hill,NC,9675,THE STRATFORD,ALG Senior,ALF,77,62.0,No,No,No,No,,GLR,,Yes
59,411 Windmill St,Walnut Cove,NC,9762,WALNUT RIDGE ASSISTED LIVING & MEMORY CARE,Navion Senior Solutions,ALF,45,36.0,Yes,Yes,No,No,,GLR,,Yes
59,411 Windmill St,Walnut Cove,NC,9761,WALNUT RIDGE ASSISTED LIVING,Navion Senior Solutions,ALF,63,50.0,No,No,No,No,,GLR,,Yes
60,4124 Pecan Dr,Hope Mills,NC,8831,CARDINAL CARE HOPE MILLS,JOEY CANNON,ALF,24,19.0,Yes,Yes,No,No,,GLR,,Yes
60,4124 Pecan Dr,Hope Mills,NC,8833,CARDINAL CARE OF HOPE MILLS,JOEY CANNON,ALF,29,23.0,No,No,No,No,,GLR,,Yes
61,4523 Hope Valley Rd,Durham,NC,8842,CAROLINA RESERVE OF DURHAM MC,Navion Senior Solutions,ALF,9,7.0,Yes,Yes,No,No,,GLR,,Yes
61,4523 Hope Valley Rd,Durham,NC,8841,CAROLINA RESERVE OF DURHAM AL,Navion Senior Solutions,ALF,37,30.0,Yes,Yes,No,No,,GLR,,Yes
62,5100 Lansing Dr,Winston-Salem,NC,9682,TRANQUILITY CARE OF WINSTON SALEM,INDEPENDENT,ALF,58,46.0,Yes,Yes,No,No,,GLR,,Yes
62,5100 Lansing Dr,Winston-Salem,NC,9681,TRANQUILITY CARE,,ALF,60,48.0,No,No,No,No,,GLR,,Yes
63,5215 Creedmoor Rd,Raleigh,NC,9180,MAGNOLIA GLEN AL,KISCO SENIOR LIVING,ALF,42,34.0,Yes,Yes,No,No,,GLR,,Yes
63,5215 Creedmoor Rd,Raleigh,NC,9179,MAGNOLIA GLEN,KISCO SENIOR LIVING,ALF,66,53.0,No,No,No,No,,GLR,,Yes
64,5235 Nc 226 S,Marion,NC,9407,ROCKY PASS FCH,INDEPENDENT,ALF,4,3.0,Yes,No,No,Yes,,GLR,,Yes
64,5235 Nc 226 S,Marion,NC,9186,MARION ASSISTED LIVING,,ALF,54,43.0,No,No,No,No,,GLR,,Yes
65,5301 Creedmoor Rd,Raleigh,NC,9181,MAGNOLIA GLEN IN,KISCO SENIOR LIVING,ALF,26,21.0,Yes,No,No,Yes,,GLR,,Yes
65,5301 Creedmoor Rd,Raleigh,NC,18550,MAGNOLIA GLEN,KISCO SENIOR LIVING,ALF,208,166.0,No,No,No,No,,GLR,,Yes
66,560 S Allen Rd,Flat Rock,NC,9517,STONECROFT,STONEGATE SENIOR LIVING,ALF,24,19.0,Yes,Yes,No,No,,GLR,,Yes
66,560 S Allen Rd,Flat Rock,NC,9518,STONECROFT ASSISTED LIVING,STONEGATE SENIOR LIVING,ALF,58,46.0,No,No,No,No,,GLR,,Yes
67,5660 Durham Rd,Roxboro,NC,9418,ROXBORO ASSISTED LIVING,"ROXBORO ASSISTED LIVING OPCO, LLC",ALF,54,43.0,Yes,Yes,No,No,,GLR,,Yes
67,5660 Durham Rd,Roxboro,NC,9419,ROXBORO ASSISTED LIVING OPCP LLC,"ROXBORO ASSISTED LIVING OPCO, LLC",ALF,120,96.0,No,No,No,No,,GLR,,Yes
68,5820 Carmel Rd,Charlotte,NC,9343,PINES ON CARMEL,SINCERI SENIOR LIVING,ALF,49,39.0,Yes,Yes,No,No,,GLR,,Yes
68,5820 Carmel Rd,Charlotte,NC,9670,THE PINES ON CARMEL SENIOR LIVING,SINCERI SENIOR LIVING,ALF,125,100.0,No,No,No,No,,GLR,,Yes
69,6016 Pine Town Rd,Oxford,NC,9684,TRE'MORE MANOR OF OXFORD,CRESCENT GREEN,ALF,19,15.0,Yes,Yes,No,No,,GLR,,Yes
69,6016 Pine Town Rd,Oxford,NC,9683,TRE' MORE MANOR ALF,CRESCENT GREEN,ALF,31,25.0,No,No,No,No,,GLR,,Yes
69,6016 Pine Town Rd,Oxford,NC,19909,TRE' MORE MANOR ALF,CRESCENT GREEN,ALF,31,25.0,No,No,No,No,,GLR,,Yes
70,602 Piney Grove Rd,Kernersville,NC,8698,BRADFORD VILLAGE WEST,INDEPENDENT,ALF,51,41.0,Yes,Yes,No,No,,GLR,,Yes
70,602 Piney Grove Rd,Kernersville,NC,9617,THE BRADFORD VILLAGE OF KERNERSVILLE - WEST,,ALF,62,50.0,No,No,No,No,,GLR,,Yes
71,63 Lakeview Dr N,Marion,NC,9140,LAKE JAMES LODGE,"LAKE JAMES LODGE ASSISTED LIVING, INC",ALF,34,27.0,Yes,Yes,No,No,,GLR,,Yes
71,63 Lakeview Dr N,Marion,NC,9141,LAKE JAMES LODGE ASSISTED LIVING,"LAKE JAMES LODGE ASSISTED LIVING, INC",ALF,60,48.0,No,No,No,No,,GLR,,Yes
72,630 Whittier Ave,High Point,NC,9781,WESTCHESTER HARBOUR,PROVIDENCE PLACE SENIOR HEALTH AND HOUSING,ALF,31,25.0,Yes,No,No,Yes,,GLR,,Yes
72,630 Whittier Ave,High Point,NC,9782,WESTCHESTER HARBOUR AT PROVIDENCE PLACE,PROVIDENCE PLACE SENIOR HEALTH AND HOUSING,ALF,90,72.0,No,No,No,No,,GLR,,Yes
73,650 Goldrock Rd,Rocky Mount,NC,9241,NAVION SENIOR LIVING - ROCKY MOUNT,Navion Senior Solutions,ALF,14,11.0,Yes,Yes,No,No,,GLR,,Yes
73,650 Goldrock Rd,Rocky Mount,NC,9246,NAVION OF ROCKY MOUNT,Navion Senior Solutions,ALF,60,48.0,No,No,No,No,,GLR,,Yes
74,6781 Old US Hwy 52,Lexington,NC,9012,GRAYSON CREEK ASSISTED LIVING,SOUTHLAND ASSISTED LIVING SERVICES,ALF,50,40.0,Yes,Yes,No,No,,LEGACY,,Yes
74,6781 Old US Hwy 52,Lexington,NC,9013,GRAYSON CREEK OF WELCOME,"LANDMARK ASSISTED LIVING, LLC",ALF,75,60.0,No,No,No,No,,LEGACY,,Yes
75,750 SE Cary Pkwy,Cary,NC,9763,WALTONWOOD CARY AL,SINGH,ALF,21,17.0,Yes,Yes,No,No,Own Provider Group,GLR,,Yes
75,750 SE Cary Pkwy,Cary,NC,9765,WALTONWOOD CARY MC,SINGH,ALF,14,11.0,Yes,No,Yes,No,Own Provider Group,GLR,,Yes
75,750 SE Cary Pkwy,Cary,NC,9764,WALTONWOOD CARY IN,SINGH,ILF,59,47.0,Yes,No,No,Yes,Own Provider Group,GLR,,Yes
76,7615 Dallas Cherryville Hwy,Cherryville,NC,9325,PEAK RESOURCES CHERRYVILLE,PEAK RESOURCES,ALF,73,58.0,Yes,No,No,Yes,,GLR,,Yes
76,7615 Dallas Cherryville Hwy,Cherryville,NC,9326,PEAK RESOURCES CHERRYVILLE REST HOME/ALF,PEAK RESOURCES,ALF,52,42.0,Yes,Yes,No,No,,GLR,,Yes
77,8398 Fayetteville Rd,Raeford,NC,9504,SPRING ARBOR OF THE SANDHILLS,WICKSHIRE SENIOR LIVING - 2 NC. 2 GA. 4 FL,ALF,47,38.0,Yes,No,Yes,No,,GLR,,Yes
77,8398 Fayetteville Rd,Raeford,NC,9502,SPRING ARBOR OF SAND HILLS,WICKSHIRE SENIOR LIVING - 2 NC. 2 GA. 4 FL,ALF,75,60.0,No,No,No,No,,GLR,,Yes
78,84 Johnson Estate Rd,Clayton,NC,8991,GABRIEL MANOR,SABER HEALTHCARE GROUP,ALF,47,38.0,Yes,Yes,No,No,,GLR,,Yes
78,84 Johnson Estate Rd,Clayton,NC,8992,GABRIEL MANOR ASSISTED LIVING CENTER,SABER HEALTHCARE GROUP,ALF,77,62.0,No,No,No,No,,GLR,,Yes
79,891 Noell Ln,Rocky Mount,NC,9091,HUNTER HILL SENIOR VILLAGE,JANET MOOSE,ALF,37,30.0,Yes,Yes,No,No,,GLR,,Yes
79,891 Noell Ln,Rocky Mount,NC,9090,HUNTER HILL ASSISTED LIVING,JANET MOOSE,ALF,64,51.0,No,No,No,No,,GLR,,Yes
80,901 W New Hope Rd,Goldsboro,NC,8937,EAGLES POINT,Navion Senior Solutions,ALF,52,42.0,Yes,Yes,No,No,,GLR,,Yes
80,901 W New Hope Rd,Goldsboro,NC,8936,EAGLE'S POINTE,Navion Senior Solutions,ALF,104,83.0,No,No,No,No,,GLR,,Yes
81,9051 Hwy 181,Jonas Ridge,NC,9103,JONAS RIDGE REST HOME,CAROLINA ALLIANCE,ALF,34,27.0,Yes,No,No,Yes,,GLR,,Yes
81,9051 Hwy 181,Jonas Ridge,NC,9102,JONAS RIDGE ADULT CARE,CAROLINA ALLIANCE,ALF,57,46.0,No,No,No,No,,GLR,,Yes
82,918 Fitzgerald St,Monroe,NC,8739,BROOKDALE MONROE SQUARE - CLAREBRIDGE,BROOKDALE SENIOR LIVING,ALF,37,42.0,Yes,Yes,No,No,,GLR,,Yes
82,918 Fitzgerald St,Monroe,NC,8741,BROOKDALE MONROE SQUARE AL,BROOKDALE SENIOR LIVING,ALF,41,39.0,Yes,Yes,No,No,,GLR,,Yes
83,95 Morningstar Ln,Sylva,NC,9218,MORNING STAR ASSISTED LIVING SYLVA,INDEPENDENT,ALF,31,25.0,Yes,Yes,No,No,,GLR,,Yes
83,95 Morningstar Ln,Sylva,NC,9225,MORNINGSTAR ASSISTED LIVING,,ALF,55,44.0,No,No,No,No,,GLR,,Yes
84,950 US Hwy 64 E,Columbia,NC,9697,TYRELL HOUSE,ALG Senior,ALF,30,24.0,Yes,Yes,No,No,,LEGACY,,Yes
84,950 US Hwy 64 E,Columbia,NC,9698,TYRRELL HOUSE,"EAST COAST AL HOLDINGS, LLC",ALF,50,40.0,No,No,No,No,,LEGACY,,Yes
85,1500 Villa Rd,Springfield,OH,11382,AVENTURA AT OAKWOOD VILLAGE,AVENTURA,ALF,105,84.0,Yes,No,No,Yes,Termination Risk,LEGACY,,Yes
85,1500 Villa Rd,Springfield,OH,11383,AVENTURA AT OAKWOOD VILLAGE ASSISTED LIVING,AVENTURA,ALF,48,38.0,Yes,Yes,No,No,Termination Risk,LEGACY,,Yes
86,15100 Birchaven Ln,Findlay,OH,11498,BIRCHAVEN RETIREMENT VILLAGE,BLANCHARD VALLEY HEALTH SYSTEM,ALF,35,28.0,Yes,No,No,Yes,,GLR,,Yes
86,15100 Birchaven Ln,Findlay,OH,17290,BIRCHAVEN HEIGHTS,BLANCHARD VALLEY HEALTH SYSTEM,ALF,287,230.0,No,No,No,No,,GLR,,Yes
87,1840 Towne Park Dr,Troy,OH,12454,STORYPOINT OF TROY,CSIG,ALF,29,23.0,Yes,Yes,No,No,,GLR,,Yes
87,1840 Towne Park Dr,Troy,OH,12422,STORYPOINT TROY,CSIG,ALF,104,83.0,No,No,No,No,,GLR,,Yes
