excel_row,facility,corporate_name,address,city,state,ownership_type,do_we_serve,db_beds,db_census,nic_operator,nic_owner,nic_ccn,nic_profit_status,nc_units,al_units,mc_units,il_units,aa_units,total_units,classification,tags,detail
9258,HUNTER HILL ASSISTED LIVING,"HUNTER HILL ASSISTED LIVING, LLC",891 Noell Ln,Rocky Mount,NC,Independent,No,64,51,Hunter Hill,Rose Hill Enterprises LLC,,Unknown,0,64,0,0,0,64,FLAGGED,PROPCO_SPLIT,"Operator=Hunter Hill, Owner=Rose Hill Enterprises LLC"
9259,HUNTER HILL SENIOR VILLAGE,JANET MOOSE,891 Noell Ln,Rocky Mount,NC,Corporate,Yes,37,30,Hunter Hill,Rose Hill Enterprises LLC,,Unknown,0,64,0,0,0,64,FLAGGED,PROPCO_SPLIT,"Operator=Hunter Hill, Owner=Rose Hill Enterprises LLC"
9260,HUNTER VILLAGE,INDEPENDENT,111 S Church St,Huntersville,NC,Independent,Yes,63,50,Tom and Jerry Management LLC,T & J Real Estate LLC,,For Profit,0,34,0,0,0,34,FLAGGED,PROPCO_SPLIT,"Operator=Tom and Jerry Management LLC, Owner=T & J Real Estate LLC"
9261,HUNTER VILLAGE,"TOM AND JERRY MANAGEMENT, LLC",111 S Church St,Huntersville,NC,Independent,No,68,54,Tom and Jerry Management LLC,T & J Real Estate LLC,,For Profit,0,34,0,0,0,34,CLEAN,,
9264,INTEGRITY - PINEBROOK LLC,INTEGRITY SENIOR LIVING,312 Harrison Ave,Yadkinville,NC,Corporate,Yes,51,41,"Integrity Senior Properties Investments, LLC",Integrity Yadkinville LLC,,Unknown,0,54,0,0,0,54,FLAGGED,PROPCO_SPLIT,"Operator=Integrity Senior Properties Investments, LLC, Owner=Integrity Yadkinville LLC"
9265,INTEGRITY PATRIOT LIVING,INTEGRITY SENIOR LIVING,409 Harrison St,Yadkinville,NC,Corporate,Yes,42,34,,,,,0,0,0,0,0,0,NO_NIC_MATCH,,
9268,JEFFERSON CARE HOME,"HUMPHREY + ONE, INC",111 Staley Boswell Rd,Yanceyville,NC,Independent,No,12,10,,,,,0,0,0,0,0,0,NO_NIC_MATCH,,
9269,JOHNSON BETTER CARE,INDEPENDENT,3485 US Hwy 301 N,Dunn,NC,Independent,Yes,38,30,,,,,0,0,0,0,0,0,NO_NIC_MATCH,,
9270,"JOHNSON BETTER CARE FACILITY, INC","JOHNSON BETTER CARE FACILITY, INC",3485 Hwy 301 N,Dunn,NC,Independent,No,50,40,unknown,Johnson William Jason,,Unknown,0,50,0,0,0,50,FLAGGED,PROPCO_SPLIT,"Operator=unknown, Owner=Johnson William Jason"
9271,JONAS RIDGE ADULT CARE,"RENCARE SOLUTIONS, INC",9051 Hwy 181,Jonas Ridge,NC,Corporate,No,57,46,Jonas Ridge Adult Care,Franklin Linda Gale,,Unknown,0,57,0,0,0,57,FLAGGED,PROPCO_SPLIT,"Operator=Jonas Ridge Adult Care, Owner=Franklin Linda Gale"
9272,JONAS RIDGE REST HOME,CAROLINA ALLIANCE,9051 Hwy 181,Jonas Ridge,NC,Corporate,Yes,34,27,Jonas Ridge Adult Care,Franklin Linda Gale,,Unknown,0,57,0,0,0,57,FLAGGED,PROPCO_SPLIT,"Operator=Jonas Ridge Adult Care, Owner=Franklin Linda Gale"
9273,JUNIPER GARDENS,IVY MANAGEMENT GROUP,4414 Wilkinson Blvd,Gastonia,NC,Independent,Yes,31,25,,,,,0,0,0,0,0,0,NO_NIC_MATCH,ADDR_MATCHES_DB_SNF,Same address as SNF: THE IVY AT GASTONIA LLC
9274,JURNEY'S ASSISTED LIVING,"ENTERPRISE HEALTHCARE OF STATESVILLE, INC",1942 Van Haven Dr,Statesville,NC,Independent,No,60,48,Tullock Management Company,Enterprise Health Care LLC,,For Profit,0,55,0,0,0,55,FLAGGED,PROPCO_SPLIT,"Operator=Tullock Management Company, Owner=Enterprise Health Care LLC"
9275,KD SUPPORT SERVICES,INDEPENDENT,467 W Main St,Forest City,NC,Independent,Yes,96,77,,,,,0,0,0,0,0,0,NO_NIC_MATCH,,
9279,KANNAPOLIS HEALTH AND REHABILITATION,AVARDIS,1810 Concord Lake Rd,Kannapolis,NC,Corporate,Yes,101,81,,,,,0,0,0,0,0,0,NO_NIC_MATCH,ADDR_MATCHES_DB_SNF,Same address as SNF: TRANSITIONAL HEALTH SERVICES OF KANNAPOLIS
9280,KEMPTON OF JACKSONVILLE,INDEPENDENT,3045 Henderson Dr,Jacksonville,NC,Independent,Yes,15,12,,,,,0,0,0,0,0,0,NO_NIC_MATCH,,
9281,KEMPTON OF JACKSONVILLE,"LIBERTY COMMONS ASSISTED LIVING OF ONSLOW COUNTY, LLC",3045 Henderson Dr Extension,Jacksonville,NC,Independent,No,79,63,Liberty Senior Living,Liberty Healthcare Properties Of Onslow County LLC,,Unknown,0,57,22,0,0,79,FLAGGED,PROPCO_SPLIT,"Operator=Liberty Senior Living, Owner=Liberty Healthcare Properties Of Onslow County LLC"
9282,KERNER RIDGE ASSISTED LIVING,"RSS/KERNERSVILLE II OPERATIONS, LLC",250 Hopkins Rd,Kernersville,NC,Independent,No,66,53,Navion Senior Solutions,250 Hopkins Road,,For Profit,0,43,7,0,0,50,FLAGGED,PROPCO_SPLIT,"Operator=Navion Senior Solutions, Owner=250 Hopkins Road"
